Sequence No;Turboveg No;Group No;Relevé number;SIVIMID;EUNIS_REVISED;EUNIS2020;EUNISL1;EUNISL2;PCluster;Class;Order;Alliance;Sintaxon;Aspect;Slope;Area;Year;DEG_LON;DEG_LAT;Accuracy;Elevation;EUNIS_VGG
105;804;1;804;T-P12290;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;10;1988;-6.214805593;42.95704458;3 - UTM10x10 + Elevation;1250;V38a
106;873;1;873;T-P22341;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;150;1988;-5.293533307;43.10529203;3 - UTM10x10 + Elevation;1440;V38a
107;872;1;872;T-P22340;V38;V;Ruderal;V38;0;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;100;1988;-5.219266299;43.09054916;3 - UTM10x10 + Elevation;1510;V38a
108;878;1;878;T-P22353;V38;V33;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;200;1988;-6.816288499;42.61260869;3 - UTM10x10 + Elevation;510;V38a
109;802;1;802;T-P12288;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;8;1988;-6.217253751;42.95697572;3 - UTM10x10 + Elevation;1250;V38a
110;89;1;89;Q-P09953;V38;V38;Ruderal;V37;6;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Carlino corymbosae-Carthametum lanati;SE;36;6;2000;-7.018834242;41.85292547;3 - UTM10x10 + Elevation;760;V38a
111;372;1;372;S-P11160;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;SW;5;40;1989;-4.429271113;43.03831306;1 - UTM1x1 + Elevation;1630;V38a
112;929;1;929;T-P36749;V38;V37;Ruderal;V37;0;Artemisietea vulgaris;Onopordetalia acanthii;Dauco-Melilotion;Comunidad de Dipsacus fullonum;SE;5;60;1993;-7.504256247;42.55157042;1 - UTM1x1 + Elevation;320;V38a
113;954;1;954;U-P00108;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;30;2001;-5.057537865;43.03054059;1 - UTM1x1 + Elevation;1080;V38a
114;868;1;868;T-P22336;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;100;1988;-5.527993205;42.88964501;3 - UTM10x10 + Elevation;1090;V38a
115;860;1;860;T-P22328;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;70;1988;-5.47624805;42.94300328;3 - UTM10x10 + Elevation;1390;V38a
116;866;1;866;T-P22334;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;120;1988;-4.82246974;43.05073515;3 - UTM10x10 + Elevation;1280;V38a
117;492;1;492;S-P21799;V38;V;Ruderal;V38;0;Artemisietea vulgaris;Carthametalia lanati;Onopordion castellani;Onopordion acanthii;;NA;50;1981;-6.247104232;42.96513607;3 - UTM10x10 + Elevation;1248;V38a
118;865;1;865;T-P22333;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;200;1988;-4.979170824;42.8068027;3 - UTM10x10 + Elevation;1070;V38a
119;805;1;805;T-P12291;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;6;1988;-6.301255783;42.9689879;3 - UTM10x10 + Elevation;1250;V38a
120;747;1;747;T-P11881;V38;V;Ruderal;V38;0;Epilobietea angustifolii;Arctio lappae-Artemisietalia;Arction lappae;Senecioni duriaei-Chenopodietum boni-henrici;;NA;100;1988;-5.32150823;43.06510802;3 - UTM10x10 + Elevation;1620;V38a
121;716;1;716;T-P11670;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;10;1988;-5.633247428;42.91697961;4 - UTM10x10 + Centroid;1000;V38a
122;840;1;840;T-P15426;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;10;1986;-6.046877736;42.78335639;3 - UTM10x10 + Elevation;1100;V38a
123;875;1;875;T-P22343;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;50;1988;-5.095502023;43.13610515;3 - UTM10x10 + Elevation;1200;V38a
124;870;1;870;T-P22338;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;50;1988;-5.000524256;43.01354245;3 - UTM10x10 + Elevation;1140;V38a
125;877;1;877;T-P22352;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Silybo mariani-Urticion piluliferae;Carduo bourgeani-Silybetum mariani;;NA;150;1988;-6.778527631;42.55263435;3 - UTM10x10 + Elevation;490;V38a
126;876;1;876;T-P22344;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;100;1988;-5.024032771;43.01942117;4 - UTM10x10 + Centroid;1070;V38a
127;871;1;871;T-P22339;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;100;1988;-4.920854553;42.97708789;3 - UTM10x10 + Elevation;1180;V38a
128;881;1;881;T-P22358;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;100;1988;-5.681268868;42.75288732;3 - UTM10x10 + Elevation;1120;V38a
129;900;1;900;T-P23967;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum richterani;;NA;5;1982;-1.973740791;43.05524401;3 - UTM10x10 + Elevation;600;V38a
130;882;1;882;T-P22359;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;150;1988;-5.627476499;42.80996401;3 - UTM10x10 + Elevation;950;V38a
131;874;1;874;T-P22342;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Carduo nutantis-Cirsietum chodati;;NA;60;1988;-5.132614525;43.14262273;3 - UTM10x10 + Elevation;1270;V38a
132;973;1;973;U-P00600;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Onopordetalia acanthii;Cirsion richterano-chodati;Cirsio chodati-Carduetum carpetani;;NA;20;2002;-4.758959542;43.06253486;1 - UTM1x1 + Elevation;1610;V38a
133;880;1;880;T-P22357;V38;V38;Ruderal;V38;6;Artemisietea vulgaris;Carthametalia lanati;Carduo carpetani-Cirsion odontolepidis;Carduo carpetani-Onopordetum acanthii;;NA;100;1988;-5.54690667;42.81358653;3 - UTM10x10 + Elevation;1040;V38a
