"Relevé number","PriorCluster","SIVIMID","EUNIS_REVISED","EUNIS2020","Twinspan","Twinspan2","Class","Order","Alliance","Sintaxon","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation"
"111",9,"Q-P08687","V39"," V32   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Alliarion petiolatae","",NA,15,"1990",-4.602567992,42.90454586,"3 - UTM10x10 + Elevation",1160
"112",1,"Q-P08690","R36"," R     ","V35 Trampled","V35 Mesic trampled annuals","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio-Plantaginetum majoris","",NA,4,"1990",-4.497746484,42.82491991,"3 - UTM10x10 + Elevation",1030
"113",1,"Q-P08691","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio-Plantaginetum majoris","",NA,8,"1990",-4.746847197,42.89523076,"3 - UTM10x10 + Elevation",1240
"114",1,"Q-P08692","R36"," R     ","V35 Trampled","V35 Trampled perennials","Molinio-Arrhenatheretea","Potentillo-Polygonetalia avicularis","Potentillion anserinae","Lolio-Plantaginetum majoris","",NA,10,"1990",-4.680596838,42.8007694,"3 - UTM10x10 + Elevation",1040
"115",4,"Q-P08735","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,40,"1990",-4.490192325,42.81601335,"3 - UTM10x10 + Elevation",1090
"116",4,"Q-P08736","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,40,"1990",-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040
"117",4,"Q-P08737","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,40,"1990",-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120
"118",4,"Q-P08738","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,40,"1990",-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110
"119",4,"Q-P08739","V15"," V15   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,80,"1990",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020
"120",4,"Q-P08740","V15"," V15   ","V37 Annual ruderals","V37 Annual ruderals","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,20,"1990",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
"121",4,"Q-P08741","V15"," V15   ","V15 Weeds of rich soils","V15 Winter weeds of rich soils","Papaveretea rhoeadis","Aperetalia spicae-venti","Scleranthion annui","Centaureo cyani-Raphanetum microcarpae","",NA,20,"1990",-4.61429613,42.88457007,"3 - UTM10x10 + Elevation",1130
"122",7,"Q-P08742","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,20,"1990",-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120
"123",7,"Q-P08743","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,12,"1990",-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100
"124",7,"Q-P08744","V37"," V37   ","V37 Annual ruderals","V37 Annual ruderals","Sisymbrietea","Sisymbrietalia sophiae","Sisymbrion officinalis","Sisymbrio officinalis-Hordeetum murini","",NA,18,"1990",-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200
"125",9,"Q-P08747","V39"," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,"1990",-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000
"126",9,"Q-P08748","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,40,"1990",-4.690827121,42.90687801,"3 - UTM10x10 + Elevation",1250
"127",9,"Q-P08749","V39"," R57   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Balloto-Conion maculati","Urtico dioicae-Sambucetum ebuli","",NA,20,"1990",-4.512128657,42.91298042,"3 - UTM10x10 + Elevation",1070
"128",9,"Q-P08750","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","S",10,40,"1990",-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000
"129",9,"Q-P08751","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Galio aparines-Conietum maculati","",NA,12,"1990",-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070
"130",9,"Q-P08752","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,20,"1990",-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300
"131",9,"Q-P08753","V39"," R55   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Galio-Alliarietalia","Geo urbani-Alliarion officinalis","Geranio robertiani-Cariolophetum sempervirentis","",NA,12,"1990",-4.487894143,42.92410402,"3 - UTM10x10 + Elevation",1080
"132",8,"Q-P08754","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals",NA,NA,NA,"","N",5,20,"",-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250
"133",8,"Q-P08755","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals",NA,NA,NA,"","",NA,70,"",-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240
"134",8,"Q-P08756","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals",NA,NA,NA,"","N",5,350,"",-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330
"135",8,"Q-P08758","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Carthametalia lanati","Carduo carpetani-Cirsion odontolepidis","Carduo carpetani-Onopordetum acanthii","",NA,100,"1990",-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130
"136",8,"Q-P08760","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,50,"1990",-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000
"137",8,"Q-P08761","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,40,"1990",-4.550416473,42.87644814,"3 - UTM10x10 + Elevation",1050
"138",8,"Q-P08762","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,20,"1990",-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070
"139",8,"Q-P08763","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,10,"1990",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
"140",8,"Q-P08764","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,100,"1990",-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100
"141",8,"Q-P08765","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,100,"1990",-4.69316451,42.81319133,"3 - UTM10x10 + Elevation",1080
"142",8,"Q-P08766","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,50,"1990",-4.648957603,42.80663255,"3 - UTM10x10 + Elevation",1120
"143",8,"Q-P08767","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,40,"1990",-4.668372809,42.80094819,"3 - UTM10x10 + Elevation",1120
"144",8,"Q-P08768","V38"," V38   ","V38 Dry ruderals","V38 Dry thistle ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Cirsium richterianum","",NA,60,"1990",-4.491578057,42.87362795,"3 - UTM10x10 + Elevation",1020
"145",6,"Q-P08769","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,1,"1990",-4.575170475,42.88691619,"3 - UTM10x10 + Elevation",1030
"146",6,"Q-P08770","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,8,"1990",-4.761486489,42.8932054,"3 - UTM10x10 + Elevation",1240
"147",6,"Q-P08771","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,4,"1990",-4.609727536,42.8972414,"3 - UTM10x10 + Elevation",1300
"148",6,"Q-P08772","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,10,"1990",-4.550506646,42.88004893,"3 - UTM10x10 + Elevation",1040
"149",6,"Q-P08773","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,2,"1990",-4.805345737,42.88531803,"3 - UTM10x10 + Elevation",1330
"150",6,"Q-P08774","V35"," V35   ","V35 Trampled","V35 Mesic trampled annuals","Polygono-Poetea annuae","Polygono arenastri-Poetalia annuae","Polygono-Coronopodion","Polygono-Matricarietum matricarioidis","",NA,5,"1990",-4.518195682,42.86067093,"3 - UTM10x10 + Elevation",990
"151",9,"Q-P09152","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.040051389,42.06645631,"3 - UTM10x10 + Elevation",1030
"152",9,"Q-P09153","V39"," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.125972742,41.84117573,"2 - UTM1x1 + Centroid",1120
"153",9,"Q-P09154","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.142281322,42.04570422,"3 - UTM10x10 + Elevation",1050
"154",9,"Q-P09155","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.062724337,42.07805993,"3 - UTM10x10 + Elevation",990
"155",9,"Q-P09156","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-7.906153316,41.9282218,"3 - UTM10x10 + Elevation",850
"156",9,"Q-P09157","V39"," V39   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-7.890158938,41.81366373,"3 - UTM10x10 + Elevation",980
"157",9,"Q-P09158","V39"," R57   ","V39 Mesic ruderals","V39 Western mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.223140863,41.76475744,"3 - UTM10x10 + Elevation",650
"158",9,"Q-P09159","V39"," V39   ","V39 Mesic ruderals","V39 Western mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.109776323,41.06042424,"3 - UTM10x10 + Elevation",550
"159",9,"Q-P09160","V39"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Epilobietea angustifolii","Arctio lappae-Artemisietalia","Arction lappae","Geranio lusitanici-Scrophularietum herminii","",NA,NA,"2004",-8.043883733,42.08429349,"3 - UTM10x10 + Elevation",1000
"160",8,"Q-P09505","V38"," V38   ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.843430513,41.81580832,"3 - UTM10x10 + Elevation",30
"161",8,"Q-P09506","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.290880571,41.59419853,"3 - UTM10x10 + Elevation",190
"162",8,"Q-P09507","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.19947904,41.65059694,"3 - UTM10x10 + Elevation",170
"163",8,"Q-P09508","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.642217634,41.77188901,"3 - UTM10x10 + Elevation",10
"164",8,"Q-P09509","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.86443276,41.78232801,"3 - UTM10x10 + Elevation",10
"165",8,"Q-P09510","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.559760071,41.14936218,"3 - UTM10x10 + Elevation",70
"166",8,"Q-P09511","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.625035142,41.1605866,"3 - UTM10x10 + Elevation",80
"167",8,"Q-P09512","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.637550131,41.22298792,"3 - UTM10x10 + Elevation",70
"168",8,"Q-P09513","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Silybo mariani-Urticion piluliferae","Echio rosulati-Picridetum echioisia","",NA,NA,"2002",-8.631537195,42.06048304,"2 - UTM1x1 + Centroid",70
"169",0,"Q-P09810","R55"," V     ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Bidentetea","Bidentetalia","Bidention tripartitae","Bidenti tripartitae-Polygonetum lapathifolii","",NA,4,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",580
"170",0,"Q-P09811","R55"," R36   ","V35 Trampled","V35 Mesic trampled annuals","Bidentetea","Bidentetalia","Bidention tripartitae","Bidenti tripartitae-Polygonetum lapathifolii","",NA,12,"2000",-6.80007697,41.85646934,"4 - UTM10x10 + Centroid",590
"171",0,"Q-P09812","R55"," Qb    ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Bidentetea","Bidentetalia","Bidention tripartitae","Bidenti tripartitae-Polygonetum lapathifolii","",NA,12,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",600
"172",0,"Q-P09813","R55"," C35a  ","V15 Weeds of rich soils","V15 Summer weeds of rich soils","Bidentetea","Bidentetalia","Bidention tripartitae","Bidenti tripartitae-Polygonetum lapathifolii","",NA,8,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",530
"173",0,"Q-P09917",""," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalarietum muralis","SE",90,4,"2000",-6.614058215,41.93663371,"1 - UTM1x1 + Elevation",750
"174",3,"Q-P09918","U37","      ?","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalarietum muralis","W",90,3,"2000",-6.902707464,41.96319006,"3 - UTM10x10 + Elevation",800
"175",3,"Q-P09919","U37","      ?","U37 Walls","U37 Walls","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalarietum muralis","NW",90,2,"2000",-7.068164578,41.83317711,"3 - UTM10x10 + Elevation",830
"176",0,"Q-P09920","U37"," V     ","V39 Mesic ruderals","V39 Eastern mesic ruderals","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Cymbalario-Asplenion","Cymbalarietum muralis","NW",90,2,"2000",-6.883145708,41.79997091,"3 - UTM10x10 + Elevation",840
"177",0,"Q-P09921","U37"," V     ","V37 Annual ruderals","V37 Annual ruderals","Cymbalario-Parietarietea diffusae","Tortulo-Cymbalarietalia","Galio valantiae-Parietarion judaicae","Parietarietum judaicae","S",90,1,"2000",-6.860724682,41.86736218,"3 - UTM10x10 + Elevation",850
"178",7,"Q-P09946","V37"," V32   ","V37 Annual ruderals","V37 Annual ruderals","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Carduus carpetanus","",NA,6,"2000",-6.830072255,41.71711066,"3 - UTM10x10 + Elevation",900
"179",8,"Q-P09947","V38"," V38   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Carduus carpetanus","",NA,8,"2000",-6.7732351,41.89548738,"3 - UTM10x10 + Elevation",990
"180",7,"Q-P09948","V37"," V32   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Carduus carpetanus","S",9,10,"2000",-6.611594935,41.85026448,"3 - UTM10x10 + Elevation",870
"181",0,"Q-P09949",""," R1R   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Carduus carpetanus","",NA,4,"2000",-6.833092387,41.84847887,"3 - UTM10x10 + Elevation",910
"182",8,"Q-P09950","V38"," V38   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Onopordetalia acanthii","Cirsion richterano-chodati","Comunidad de Carduus carpetanus","",NA,12,"2000",-7.079603721,41.89940303,"3 - UTM10x10 + Elevation",780
"183",8,"Q-P09951","V38"," V33   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Carthametalia lanati","Onopordion castellani","Carlino corymbosae-Carthametum lanati","W",54,4,"2000",-6.80628046,41.80254728,"3 - UTM10x10 + Elevation",680
"184",8,"Q-P09952","V38"," V33   ","V37 Annual ruderals","V37 Annual ruderals","Artemisietea vulgaris","Carthametalia lanati","Onopordion castellani","Carlino corymbosae-Carthametum lanati","",NA,10,"2000",-6.61857634,41.83535117,"4 - UTM10x10 + Centroid",560
"185",8,"Q-P09953","V38"," V38   ","V37 Annual ruderals","V37 Dry perennial ruderals","Artemisietea vulgaris","Carthametalia lanati","Onopordion castellani","Carlino corymbosae-Carthametum lanati","SE",36,6,"2000",-7.018834242,41.85292547,"3 - UTM10x10 + Elevation",760
"186",8,"Q-P09954","V38"," V33   ","V15 Weeds of poor soils","V15 Summer weeds of poor soils","Artemisietea vulgaris","Carthametalia lanati","Onopordion castellani","Carlino corymbosae-Carthametum lanati","S",4.5,4,"2000",-6.607392805,41.86120262,"3 - UTM10x10 + Elevation",790
