SIVIMID,Revised.sintaxon
T-P18093,Epilobion angustifolii
T-P18165,Epilobion angustifolii
T-P21510,Epilobion angustifolii
T-P21513,Epilobion angustifolii
T-P21514,Epilobion angustifolii
T-P21515,Epilobion angustifolii
T-P21516,Epilobion angustifolii
T-P21529,Epilobion angustifolii
T-P21532,Epilobion angustifolii
T-P23400,Epilobion angustifolii
T-P23402,Epilobion angustifolii
T-P23405,Epilobion angustifolii
T-P23406,Epilobion angustifolii
T-P23409,Epilobion angustifolii
T-P23411,Epilobion angustifolii
T-P23412,Epilobion angustifolii
T-P23413,Epilobion angustifolii
T-P23414,Epilobion angustifolii
T-P23415,Epilobion angustifolii
T-P23416,Epilobion angustifolii
T-P23419,Epilobion angustifolii
T-P26064,Epilobion angustifolii
T-P27842,Epilobion angustifolii
T-P27856,Epilobion angustifolii
T-P27860,Epilobion angustifolii
T-P27948,Epilobion angustifolii
T-P30422,Epilobion angustifolii
T-P32575,Epilobion angustifolii
T-P32578,Epilobion angustifolii
T-P32579,Epilobion angustifolii
T-P32582,Epilobion angustifolii
T-P32583,Epilobion angustifolii
T-P32584,Epilobion angustifolii
T-P32585,Epilobion angustifolii
T-P32587,Epilobion angustifolii
T-P35948,Epilobion angustifolii
T-P35959,Epilobion angustifolii
T-P35962,Epilobion angustifolii
T-P35963,Epilobion angustifolii
T-P35965,Epilobion angustifolii
U-P00007,Epilobion angustifolii
U-P00017,Epilobion angustifolii
U-P00019,Epilobion angustifolii
U-P00142,Epilobion angustifolii
U-P00148,Epilobion angustifolii
U-P00246,Epilobion angustifolii
U-P00247,Epilobion angustifolii
U-P00274,Epilobion angustifolii
U-P00281,Epilobion angustifolii
U-P00282,Epilobion angustifolii
U-P00283,Epilobion angustifolii
U-P00285,Epilobion angustifolii
U-P00287,Epilobion angustifolii
U-P00288,Epilobion angustifolii
U-P00290,Epilobion angustifolii
U-P00591,Epilobion angustifolii
U-P00848,Epilobion angustifolii
U-P00852,Epilobion angustifolii
U-P00895,Epilobion angustifolii
U-P00896,Epilobion angustifolii
U-P00897,Epilobion angustifolii
U-P00899,Epilobion angustifolii
U-P00901,Epilobion angustifolii
U-P00902,Epilobion angustifolii
U-P00907,Epilobion angustifolii
U-P00908,Epilobion angustifolii
U-P00909,Epilobion angustifolii
U-P00910,Epilobion angustifolii
U-P00911,Epilobion angustifolii
U-P00913,Epilobion angustifolii
U-P00914,Epilobion angustifolii
U-P00915,Epilobion angustifolii
U-P00916,Epilobion angustifolii
U-P07602,Epilobion angustifolii
U-P07907,Epilobion angustifolii
U-P07908,Epilobion angustifolii
U-P07911,Epilobion angustifolii
U-P07912,Epilobion angustifolii
U-P07913,Epilobion angustifolii
U-P08031,Epilobion angustifolii
U-P08032,Epilobion angustifolii
U-P08033,Epilobion angustifolii
U-P08034,Epilobion angustifolii
U-P12213,Epilobion angustifolii
U-P12215,Epilobion angustifolii
U-P12217,Epilobion angustifolii
U-P12219,Epilobion angustifolii
U-P12221,Epilobion angustifolii
U-P12307,Epilobion angustifolii
U-P12316,Epilobion angustifolii
U-P13629,Epilobion angustifolii
U-P14215,Epilobion angustifolii
U-P15453,Epilobion angustifolii
U-P15809,Epilobion angustifolii
U-P16699,Epilobion angustifolii
