"SIVIMID","DCA1","DCA2","Cluster","EUNIS","Class","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation"
"Q-P08736",-0.020156757431701,-0.0444127973128783,"6","V15",4,208736,91,8826,"30TUN74","",6634,1040,"Cantoral de la Peña","ES","ATL_COAST","N_DUNES",100,"",NA,40,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.509713355,42.81395656,"3 - UTM10x10 + Elevation",1040
"Q-P08737",-0.0225514491805451,-0.0332118182260687,"6","V15",4,208737,92,9861,"30TUN64","",6635,1120,"Pisón de Castrejón","ES","ATL_COAST","N_DUNES",80,"",NA,40,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.675998898,42.81164292,"3 - UTM10x10 + Elevation",1120
"Q-P08738",-0.00901590227529178,-0.0574570039422762,"6","V15",4,208738,90,8902,"30TUN74","",6636,1110,"Arroyo de Candenosa","ES","ATL_COAST","N_DUNES",40,"",NA,40,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.504996992,42.82122277,"3 - UTM10x10 + Elevation",1110
"Q-P08739",0.0079542412006442,-0.101122420771985,"6","V15",4,208739,72,10615,"30TUN55","",6637,1020,"Camporredondo de Alba","ES","ATL_COAST","N_DUNES",50,"",NA,80,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.77611585,42.9334869,"4 - UTM10x10 + Centroid",1020
"Q-P08740",-0.0117242255851242,-0.0138596372864728,"14","V15",4,208740,70,9161,"30TUN74","",6638,970,"Cervera de Pisuerga","ES","ATL_COAST","N_DUNES",100,"",NA,20,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
"Q-P08741",-0.0135624166065474,-0.0510446786199099,"6","V15",4,208741,91,11860,"30TUN64","",6639,1130,"Castrejón de la Peña","ES","ATL_COAST","N_DUNES",50,"",NA,20,"2890","Centaureo cyani-Raphanetum microcarpae","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V15   ","No forest",-4.61429613,42.88457007,"3 - UTM10x10 + Elevation",1130
"Q-P08742",-0.0117833263067362,-0.0118098545575781,"14","V37",9,208742,92,9527,"30TUN64","",6640,1120,"Castrejón de la Peña","ES","ATL_COAST","N_DUNES",100,"",NA,20,"753","Sisymbrio officinalis-Hordeetum murini","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V37   ","No forest",-4.646560297,42.80846808,"3 - UTM10x10 + Elevation",1120
"Q-P08743",-0.0110884939374207,-0.00944644809506467,"14","V37",9,208743,93,10479,"30TUN54","",6641,1100,"Santibañez de la Peña","ES","ATL_COAST","N_DUNES",100,"",NA,12,"753","Sisymbrio officinalis-Hordeetum murini","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V37   ","No forest",-4.741715289,42.79985585,"3 - UTM10x10 + Elevation",1100
"Q-P08744",-0.00912386404899335,-0.00850471254628593,"14","V37",9,208744,88,11599,"30TUN44","",6612,1200,"Velilla del rio Carrión","ES","ATL_COAST","N_DUNES",100,"",NA,18,"753","Sisymbrio officinalis-Hordeetum murini","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V37   ","No forest",-4.946753488,42.86499029,"3 - UTM10x10 + Elevation",1200
"Q-P08747",0.00339872867120858,0.00321060730416289,"14","V",11,208747,91,9134,"30TUN74","",6643,1000,"Cervera de Pisuerga","ES","ATL_COAST","N_DUNES",100,"",NA,20,"856","Urtico dioicae-Sambucetum ebuli","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V     ","No forest",-4.504036138,42.88246998,"3 - UTM10x10 + Elevation",1000
