"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb.",".","Caryophyllaceae",".","Therophyte","Moenchia erecta",".","Moenchia","erecta",NA,NA,"(L.) P.Gaertn., B.Mey. & Scherb.",".",".",".",".",".",NA,NA,NA,NA,"Native",1655,"50a. Tuberarietalia guttatae","Moenchia erecta","Moenchia erecta (L.) P.Gaertn., B.Mey. & Scherb.","Moenchia","","erecta","","","(L.) P.Gaertn., B.Mey. & Scherb.","Caryophyllaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",5,5,8,4,5,7
"+","Molinia arundinacea Schrank",".","Poaceae",".","Hemicryptophyte","Molinia arundinacea",".","Molinia","arundinacea",NA,NA,"Schrank",".",".",".",".",".",NA,NA,NA,NA,"Native - new",1658,"59a. Molinietalia caeruleae","Molinia caerulea","Molinia caerulea (L.) Moench","Molinia","","caerulea","","","(L.) Moench","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,3,4,5
"+","Molinia caerulea (L.) Moench",".","Poaceae",".","Hemicryptophyte","Molinia caerulea",".","Molinia","caerulea",NA,NA,"(L.) Moench",".",".",".",".",".",NA,NA,NA,NA,"Native",1659,".","Molinia caerulea","Molinia caerulea (L.) Moench","Molinia","","caerulea","","","(L.) Moench","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",8,4,7,3,4,5
"+","Hypopitys monotropa Crantz",".","Ericaceae",".","Geophyte","Hypopitys monotropa",".","Hypopitys","monotropa",NA,NA,"Crantz",".",".",".",".",".",NA,NA,NA,NA,"Native",1312,"51b. Brachypodietalia phoenicoidis","Monotropa hypopitys","Monotropa hypopitys L.","Monotropa","","hypopitys","","","L.","Ericaceae","Ericales","Magnoliopsida","Superasterids","Angiosperms",6,5,5,4,5,5
"+","Montia fontana subsp. amporitana Sennen",".","Montiaceae",".","Helophyte","Montia fontana subsp. amporitana",".","Montia","fontana","subsp.","amporitana","Sennen",".",".",".",".",".",NA,NA,NA,NA,"Native",1662,"27.9. Saxifragion willkommianae","Montia fontana","Montia fontana subsp. amporitana Sennen","Montia","","fontana","subsp.","amporitana","Sennen","Montiaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",9,5,7,5,5,5
"+","Montia arvensis Wallr.",".","Montiaceae",".","Helophyte","Montia arvensis",".","Montia","arvensis",NA,NA,"Wallr.",".",".",".",".",".",NA,NA,NA,NA,"Native",1660,"11.1. Cardamino amarae-Montion fontanae","Montia fontana","Montia fontana L.","Montia","","fontana","","","L.","Montiaceae","Caryophyllales","Magnoliopsida","Superasterids","Angiosperms",9,5,7,5,5,5
"+","Moricandia arvensis (L.) DC.",".","Brassicaceae",".","Therophyte","Moricandia arvensis",".","Moricandia","arvensis",NA,NA,"(L.) DC.",".",".",".",".",".",NA,NA,NA,"RA: Moricandia arvensis (L.) DC. está citada en Cistierna","Native - new",2808,".","Moricandia arvensis","Moricandia arvensis (L.) DC.","Moricandia","","arvensis","","","(L.) DC.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Murbeckiella boryi (Boiss.) Rothm.",".","Brassicaceae",".","Hemicryptophyte","Murbeckiella boryi",".","Murbeckiella","boryi",NA,NA,"(Boiss.) Rothm.",".",".",".",".",".",NA,NA,NA,NA,"Native",1663,"33b. Androsacetalia alpinae","Murbeckiella boryi","Murbeckiella boryi (Boiss.) Rothm.","Murbeckiella","","boryi","","","(Boiss.) Rothm.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",4,6,8,3,4,4
"+","Muscari baeticum Blanca, Ruíz Rejón & Suár.-Sant.",".","Asparagaceae",".","Geophyte","Muscari baeticum",".","Muscari","baeticum",NA,NA,"Blanca, Ruíz Rejón & Suár.-Sant.",".",".",".",".",".",NA,NA,NA,"BJA: ver commentario en M. neglectum","Native - new",2906,".","Muscari baeticum","Muscari baeticum Blanca, Ruíz Rejón & Suár.-Sant.","Muscari","","baeticum","","","Blanca, Ruíz Rejón & Suár.-Sant.","Asparagaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Muscari neglectum Guss. ex Ten.",".","Asparagaceae",".","Geophyte","Muscari neglectum",".","Muscari","neglectum",NA,NA,"Guss. ex Ten.",".",".",".",".",".",NA,NA,NA,"LC: Según Flora iberica, en nuestras montañas vive el hexaploide M. baeticum, que es al parecer un aloploide surgido del cruzamiento entre el diploide M. atlanticum y el tetraploide M. neglectum. Este último también viviría, siempre según Flora iberica, en todas las provincias orocantábricas, pero no sé si en los sectores que nos interesan en esta ocasión. No tengo un herbario a mano para intentar confirmar si el verdadero neglectum (que se ditingue de M. baeticum por tener numeroso bulbilos y las anteras menores de 1 mm), vive también en nuestras comarcas montañosas... HN: Estas tres especies se consideraron sinónimos en mucha floras y los nombres se usaron sin mas precisiones o estudios
LC: Las diferencias parecen sólidas: https://www.researchgate.net/publication/235675149_Polyploidy_the_Major_Speciation_Mechanism_in_Muscari_Subgenus_Botryanthus_in_the_Iberian_Peninsula. BJA: En Euro+Med admiten la distinción, así que podemos asumir que : neglectum y M. baeticum están en el territorio tal y como dicen en Fl Iber","Native",1665,"45. Kobresio myosuroidis-Seslerietea caeruleae","Muscari neglectum","Muscari neglectum Guss. ex Ten.","Muscari","","neglectum","","","Guss. ex Ten.","Asparagaceae","Asparagales","Liliopsida","Monocots","Angiosperms",4,5,8,4,7,6
"+","Myosotis alpestris subsp. alpestris F.W.Schmidt",".","Boraginaceae",".","Hemicryptophyte","Myosotis alpestris subsp. alpestris",".","Myosotis","alpestris","subsp.","alpestris","F.W.Schmidt",".",".",".",".",".",NA,NA,NA,"LC. Un puñado de citas, hechas más bien à la negligée por medio del sinónimo ilegítimo Myosotis alpina. Hay que considerarlas referidas a Myosotis alpestris subsp. alpestris. BJA: queda sinonimizada a subsp alpestris","Native",1666,"39c. Solano nigri-Polygonetalia convolvuli","Myosotis alpestris","Myosotis alpestris F.W.Schmidt","Myosotis","","alpestris","","","F.W.Schmidt","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,4,6,4
"+","Myosotis arvensis (L.) Hill",".","Boraginaceae",".","Therophyte","Myosotis arvensis",".","Myosotis","arvensis",NA,NA,"(L.) Hill",".",".",".",".",".",NA,NA,NA,NA,"Native",1668,"En Stellarietea mediae","Myosotis arvensis","Myosotis arvensis (L.) Hill","Myosotis","","arvensis","","","(L.) Hill","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Myosotis balbisiana Jord.",".","Boraginaceae",".","Therophyte","Myosotis balbisiana",".","Myosotis","balbisiana",NA,NA,"Jord.",".",".",".",".",".",NA,NA,NA,NA,"Native",1669,"35. Epilobietea angustifolii","Myosotis balbisiana","Myosotis balbisiana Jord.","Myosotis","","balbisiana","","","Jord.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,6,6,6
"+","Myosotis decumbens subsp. teresiana (Sennen) Grau",".","Boraginaceae",".","Hemicryptophyte","Myosotis decumbens subsp. teresiana",".","Myosotis","decumbens","subsp.","teresiana","(Sennen) Grau",".",".",".",".",".",NA,NA,NA,"LC: Representada por la subsp. teresiana (http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=110917&PTRefFk=7100000).","Native",1670,"50. Tuberarietea guttatae","Myosotis decumbens","Myosotis decumbens Host","Myosotis","","decumbens","","","Host","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",7,4,5,5,5,5
"+","Myosotis discolor subsp. dubia (Arrond.) Blaise",".","Boraginaceae",".","Therophyte","Myosotis discolor subsp. dubia",".","Myosotis","discolor","subsp.","dubia","(Arrond.) Blaise",".",".",".",".",".",NA,NA,NA,NA,"Native",1672,"43.6. Ranunculo cortusifolii-Geranion canariensis","Myosotis discolor","Myosotis discolor subsp. dubia (Arrond.) Blaise","Myosotis","","discolor","subsp.","dubia","(Arrond.) Blaise","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Myosotis discolor subsp. discolor Pers.",".","Boraginaceae",".","Therophyte","Myosotis discolor subsp. discolor",".","Myosotis","discolor","subsp.","discolor","Pers.",".",".",".",".",".",NA,NA,NA,NA,"Native",1671,"50. Tuberarietea guttatae","Myosotis discolor","Myosotis discolor Pers.","Myosotis","","discolor","","","Pers.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Myosotis laxa subsp. caespitosa (Schultz) Nordh.",".","Boraginaceae",".","Therophyte","Myosotis laxa subsp. caespitosa",".","Myosotis","laxa","subsp.","caespitosa","(Schultz) Nordh.",".",".",".",".",".",NA,NA,NA,NA,"Native",1674,"12.3.Rorippion nasturtii-aquatici","Myosotis laxa","Myosotis laxa subsp. caespitosa (Schultz) Hyl. ex Nordh.","Myosotis","","laxa","subsp.","caespitosa","(Schultz) Hyl. ex Nordh.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Myosotis martini Sennen",".","Boraginaceae",".","Hemicryptophyte","Myosotis martini",".","Myosotis","martini",NA,NA,"Sennen",".",".",".",".",".",NA,NA,NA,"BJA: faltaba de listado incial","Native",1675,"12.3.Rorippion nasturtii-aquatici","Myosotis martrinii",NA,"Myosotis","","martrinii","","","Rouy","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",8,4,6,5,5,6
"+","Myosotis persoonii Rouy",".","Boraginaceae",".","Therophyte","Myosotis persoonii",".","Myosotis","persoonii",NA,NA,"Rouy",".",".",".",".",".",NA,NA,NA,NA,"Native",1677,"41.2. Geranio pusilli-Anthriscion caucalidis","Myosotis persoonii","Myosotis persoonii Rouy","Myosotis","","persoonii","","","Rouy","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",4,5,8,2,4,7
"+","Myosotis ramosissima Rochel",".","Boraginaceae",".","Therophyte","Myosotis ramosissima",".","Myosotis","ramosissima",NA,NA,"Rochel",".",".",".",".",".",NA,NA,NA,NA,"Native",1678,"12.3. Rorippion nasturtii-aquatici","Myosotis ramosissima","Myosotis ramosissima Rochel","Myosotis","","ramosissima","","","Rochel","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",6,5,7,5,6,6
"+","Myosotis secunda A. Murray",".","Boraginaceae",NA,"Therophyte","Myosotis secunda",NA,"Myosotis","secunda",NA,NA,"A. Murray",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myosotis secunda","Myosotis secunda Al.Murray","Myosotis","","secunda","","","Al.Murray","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",8,4,6,5,5,6
"+","Myosotis sicula Guss.",".","Boraginaceae",".","Therophyte","Myosotis sicula",".","Myosotis","sicula",NA,NA,"Guss.",".",".",".",".",".",NA,NA,NA,NA,"Native",1680,"11.4. Myosotidion stoloniferae","Myosotis sicula","Myosotis sicula Guss.","Myosotis","","sicula","","","Guss.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",8,5,7,5,5,5
"+","Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier",".","Boraginaceae",".","Hemicryptophyte","Myosotis stolonifera",".","Myosotis","stolonifera",NA,NA,"(DC.) J.Gay ex Leresche & Levier",".",".",".",".",".",NA,NA,NA,NA,"Native",1681,"50.2.Thero-Airion","Myosotis stolonifera","Myosotis stolonifera (DC.) J.Gay ex Leresche & Levier","Myosotis","","stolonifera","","","(DC.) J.Gay ex Leresche & Levier","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",10,4,7,4,5,5
"+","Myosotis stricta Link ex Roem. & Schult.",".","Boraginaceae",".","Therophyte","Myosotis stricta",".","Myosotis","stricta",NA,NA,"Link ex Roem. & Schult.",".",".",".",".",".",NA,NA,NA,NA,"Native",1682,"35. Epilobietea angustifolii","Myosotis stricta","Myosotis stricta Link ex Roem. & Schult.","Myosotis","","stricta","","","Link ex Roem. & Schult.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",5,5,7,5,6,6
"+","Myosurus minimus L.",".","Ranunculaceae",".","Therophyte","Myosurus minimus",".","Myosurus","minimus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1686,"10. Littorelletea uniflorae","Myosurus minimus","Myosurus minimus L.","Myosurus","","minimus","","","L.","Ranunculaceae","Ranunculales","Magnoliopsida","Ranunculales","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Myriophyllum alterniflorum DC.",".","Haloragaceae",".","Hydrophyte","Myriophyllum alterniflorum",".","Myriophyllum","alterniflorum",NA,NA,"DC.",".","VU",".",".",".","y",NA,NA,NA,"Native",1687,"3,. Potametea","Myriophyllum alterniflorum","Myriophyllum alterniflorum DC.","Myriophyllum","","alterniflorum","","","DC.","Haloragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",12,5,7,5,6,5
"+","Myriophyllum spicatum L.",".","Haloragaceae",".","Hydrophyte","Myriophyllum spicatum",".","Myriophyllum","spicatum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1688,"3.2. Nymphaeion albae","Myriophyllum spicatum","Myriophyllum spicatum L.","Myriophyllum","","spicatum","","","L.","Haloragaceae","Saxifragales","Magnoliopsida","Superrosids","Angiosperms",10,4,7,5,6,6
"+","Myrrhis odorata (L.) Scop.",".","Apiaceae",".","Hemicryptophyte","Myrrhis odorata",".","Myrrhis","odorata",NA,NA,"(L.) Scop.",".",".",".",".",".",NA,NA,NA,NA,"Native",1690,"60a. Nardetalia strictae","Myrrhis odorata","Myrrhis odorata (L.) Scop.","Myrrhis","","odorata","","","(L.) Scop.","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",9,5,7,5,6,5
"+","Chaerophyllum nodosum (L.) Crantz",".","Apiaceae",".","Therophyte","Chaerophyllum nodosum",".","Chaerophyllum","nodosum",NA,NA,"(L.) Crantz",".",".",".",".",".",NA,NA,NA,NA,"Native",615,"40.2. Galio aparines-Alliarion petiolatae","Myrrhoides nodosa","Myrrhoides nodosa (L.) Cannon","Myrrhoides","","nodosa","","","(L.) Cannon","Apiaceae","Apiales","Magnoliopsida","Superasterids","Angiosperms",6,4,6,5,6,6
"+","Narcissus asturiensis (Jord.) Pugsley",".","Amaryllidaceae",".","Geophyte","Narcissus asturiensis",".","Narcissus","asturiensis",NA,NA,"(Jord.) Pugsley",".","Interés Especial",".","VU",".","y","LESPRE","Annex II",NA,"Native",1691,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Narcissus asturiensis","Narcissus asturiensis (Jord.) Pugsley","Narcissus","","asturiensis","","","(Jord.) Pugsley","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,6,4,5,5
"+","Narcissus nivalis Graells",".","Amaryllidaceae",".","Geophyte","Narcissus nivalis",".","Narcissus","nivalis",NA,NA,"Graells",".",".",".",".",".",NA,NA,NA,"LC: La forma que es genuinamente orocantábrica es el Narcissus nivalis de Graells, que Euro+Med (que adopta una checklist más bien absurda de esas de Kew, tanto que considera asturiensis una especie aparte pero minor una subespecie de pseudonarcissus) reconoce como especie aparte. BJA: corregido nombre final","Native",1692,"En Caricetalia fuscae y Molinio-Arrhenatheretea","Narcissus nivalis","Narcissus nivalis Graells","Narcissus","","nivalis","","","Graells","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Narcissus poeticus L.","?","Amaryllidaceae",".","Geophyte","Narcissus poeticus","Old records by Gandoger were uncertain, but the species has been recently registered in the herbarium LEB from apparently natural populations. The native status should be however confirmed.","Narcissus","poeticus",NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Native",NA,NA,"Narcissus poeticus","Narcissus poeticus L.","Narcissus","","poeticus","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Narcissus primigenius (Fern.Suárez ex M.Laínz) Fern.Casas & Laínz",".","Amaryllidaceae","CM+ML","Geophyte","Narcissus primigenius",".","Narcissus","primigenius",NA,NA,"(Fern.Suárez ex M.Laínz) Fern.Casas & Laínz",".",".",".",".",".",NA,NA,"Annex II",NA,"Native",1693,".","Narcissus primigenius","Narcissus primigenius (Fern.Suárez ex M.Laínz) Fern.Casas & Laínz","Narcissus","","primigenius","","","(Fern.Suárez ex M.Laínz) Fern.Casas & Laínz","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",8,4,7,3,3,5
"+","Narcissus pseudonarcissus subsp. nobilis (Haw.) A. Fern.",".","Amaryllidaceae",".","Geophyte","Narcissus pseudonarcissus subsp. nobilis",".","Narcissus","pseudonarcissus","subsp.","nobilis","(Haw.) A. Fern.",".",".",".",".",".",NA,"LESPRE","Annex II","BJA: sugerido por varios, asumiendo es silvestre","Native - new",2908,".","Narcissus pseudonarcissus","Narcissus pseudonarcissus subsp. nobilis (Haw.) A.Fern.","Narcissus","","pseudonarcissus","subsp.","nobilis","(Haw.) A.Fern.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,5,5,5
"+","Narcissus pseudonarcissus subsp. pallidiflorus (Pugsley) A. Fern.",".","Amaryllidaceae",".","Geophyte","Narcissus pseudonarcissus subsp. pallidiflorus",".","Narcissus","pseudonarcissus","subsp.","pallidiflorus","(Pugsley) A. Fern.","VU",".",".",".",".",NA,NA,"Annex II","MAG: Existe una cita de Narcissus poeticus en León (Tesis doctoral de Alberto Cantoral). Visto el pliego parece que está bien, pero creo que podría ser de un cultivo. LC: Dentro del esquema un tanto incoherente de Euro+Med, supongo que hay que admitir que esta raza es orocantábrica, en la medida en que lo es lo descrito (sub tortuosus) como var. penamayorensis. HN: También son N. pallidiflorus las plantas de algunos puertos entre Santander y Burgos","Native - new",1697,"En Festuco valesiacae-Brometea erecti, Cytisetea scopario-striati y Querco-Fagetea","Narcissus pseudonarcissus","Narcissus pseudonarcissus subsp. pallidiflorus (Pugsley) A.Fern.","Narcissus","","pseudonarcissus","subsp.","pallidiflorus","(Pugsley) A.Fern.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,5,5,5
"+","Narcissus pseudonarcissus subsp. leonensis (Pugsley) Fern. Casas & Laínz",".","Amaryllidaceae","CM","Geophyte","Narcissus pseudonarcissus subsp. leonensis",".","Narcissus","pseudonarcissus","subsp.","leonensis","(Pugsley) Fern. Casas & Laínz",".",".",".",".",".",NA,NA,"Annex II","FdelEg:Fermin  Añadir la  subsp. nobilis (Haw.) A. Fern. que Euro+Med tambien acepta; y en UICN:  NT. RA: De acuerdo en añadir Narcissus pseudonarcissus subsp. nobilis aceptado en Euro+Med","Native - new",1696,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Narcissus pseudonarcissus","Narcissus pseudonarcissus subsp. leonensis (Pugsley) Fern.Casas & Laínz","Narcissus","","pseudonarcissus","subsp.","leonensis","(Pugsley) Fern.Casas & Laínz","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,5,5,5
"+","Narcissus pseudonarcissus subsp. minor (L.) Baker",".","Amaryllidaceae",".","Geophyte","Narcissus pseudonarcissus subsp. minor",".","Narcissus","pseudonarcissus","subsp.","minor","(L.) Baker",".",".",".",".","Aprovechamiento regulado","y",NA,"Annex II",NA,"Native",1694,"En Calluno-Ulicetea y Molinio-Arrhenatheretea","Narcissus pseudonarcissus","Narcissus pseudonarcissus subsp. minor (L.) Baker","Narcissus","","pseudonarcissus","subsp.","minor","(L.) Baker","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,5,5,5
"+","Narcissus pseudonarcissus subsp. pseudonarcissus L.",".","Amaryllidaceae",".","Geophyte","Narcissus pseudonarcissus subsp. pseudonarcissus",".","Narcissus","pseudonarcissus","subsp.","pseudonarcissus","L.",".","Interés Especial",".","VU","Aprovechamiento regulado","y",NA,"Annex II","LC: Entiendo que dan por buena la lectotipificación de Ginés López & Barra y admiten que pseudonarcissus s. str. es, por ejemplo, la planta que los ingleses dan por nativa de su isla (en vez de asimilar dicho nombre a una cultivariedad de flor doble como hacen Nava & al. in Doc. Jard. Bot. Atlántico 9 [2013] para destentenderse de él). pero entonces no comprendo muy bien por qué admiten la subsp. nobilis... HN: N. nobilis seria tambien una planta cultivada y si se opta por las síntesis N. primigenius no vale mas que N. leonensis, pero no veo la utilidad de convertir en especies las secciones del género. Juntar todo el subgénero Ajax en N. pseudonarcissus   no tiene mucho sentido y oculta la diversidad del género.","Native",1695,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Narcissus pseudonarcissus","Narcissus pseudonarcissus L.","Narcissus","","pseudonarcissus","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,5,5,5
"+","Narcissus triandrus L.",".","Amaryllidaceae",".","Geophyte","Narcissus triandrus",".","Narcissus","triandrus",NA,NA,"L.",".",".",".",".",".",NA,"LESPRE","Annex IV",NA,"Native",1698,"60a. Nardetalia strictae","Narcissus triandrus","Narcissus triandrus L.","Narcissus","","triandrus","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,4,6,4,4,6
"+","Nardus stricta L.",".","Poaceae",".","Hemicryptophyte","Nardus stricta",".","Nardus","stricta",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",1699,"13.1. Ericion tetralicis","Nardus stricta","Nardus stricta L.","Nardus","","stricta","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",7,5,7,3,4,5
"+","Narthecium ossifragum (L.) Huds.",".","Nartheciaceae",".","Hemicryptophyte","Narthecium ossifragum",".","Narthecium","ossifragum",NA,NA,"(L.) Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",1700,"12.3.Rorippion nasturtii-aquatici","Narthecium ossifragum","Narthecium ossifragum (L.) Huds.","Narthecium","","ossifragum","","","(L.) Huds.","Nartheciaceae","Dioscoreales","Liliopsida","Monocots","Angiosperms",9,4,7,3,3,5
"+","Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.",".","Brassicaceae",".","Helophyte","Nasturtium microphyllum",".","Nasturtium","microphyllum",NA,NA,"(Boenn. ex Rchb.) Rchb.",".",".",".",".",".",NA,NA,NA,NA,"Native",1701,"12.3.Rorippion nasturtii-aquatici","Nasturtium microphyllum","Nasturtium microphyllum (Boenn. ex Rchb.) Rchb.","Nasturtium","","microphyllum","","","(Boenn. ex Rchb.) Rchb.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Nasturtium officinale R.Br.",".","Brassicaceae",".","Helophyte","Nasturtium officinale",".","Nasturtium","officinale",NA,NA,"R.Br.",".",".",".",".",".",NA,NA,NA,NA,"Native",1702,"50c. Trachynietalia dystachiae","Nasturtium officinale","Nasturtium officinale R.Br.","Nasturtium","","officinale","","","R.Br.","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",10,5,7,6,6,5
"+","Neatostema apulum (L.) I.M.Johnst.",".","Boraginaceae",".","Therophyte","Neatostema apulum",".","Neatostema","apulum",NA,NA,"(L.) I.M.Johnst.",".",".",".",".",".",NA,NA,NA,NA,"Native",1703,"9.3. Agrostion pourretii","Neatostema apulum","Neatostema apulum (L.) I.M.Johnst.","Neatostema","","apulum","","","(L.) I.M.Johnst.","Boraginaceae","Boraginales","Magnoliopsida","Superasterids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Neoschischkinia truncatula subsp. durieui (Willk.) Valdés & H. Scholz",".","Poaceae",".","Hemicryptophyte","Neoschischkinia truncatula subsp. durieui",".","Neoschischkinia","truncatula","subsp.","durieui","(Willk.) Valdés & H. Scholz",".",".",".",".",".",NA,NA,NA,"LC: Este es un embrollo nomenclatural bastante considerable. Pourret no publicó su Agrostis delicatula, y cuando lo acabó haciendo Lapeyrous fue sobre una muestra que corresponde en realidad a Agrostis castellana. O sea, que delicatula no es un sinónimo de truncatula (si lo fuera, como Euro+Med [http://ww2.bgbm.org/EuroPlusMed/PTaxonDetail.asp?NameId=7712738&PTRefFk=7100000], pasaría a ser el nombre prioritario, por antigüedad). Pero para lo que nosotros nos afecta hoy, lo importante es que, efectivamente, el nombre de Euro+Med que le corresponde a las citas de ""Agrostis delicatula"" es el que figura ahí. BJA: Lo que más tenemos en suelos ácidos rocosos, a mí Prieto me lo enseñó siempre como A. durieui, por suerte se mantiene en el nombre, para facilitar las cosas","Native",1706,"75. Quercetea ilicis","Neoschischkinia truncatula","Neoschischkinia truncatula (Parl.) Valdés & H.Scholz","Neoschischkinia","","truncatula","","","(Parl.) Valdés & H.Scholz","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Neotinea maculata (Desf.) Stearn",".","Orchidaceae",".","Geophyte","Neotinea maculata",".","Neotinea","maculata",NA,NA,"(Desf.) Stearn",".",".",".",".",".",NA,NA,NA,NA,"Native",1707,"51. Festuco valesiacae-Brometea erecti","Neotinea maculata","Neotinea maculata (Desf.) Stearn","Neotinea","","maculata","","","(Desf.) Stearn","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Neotinea ustulata (L.) R. M. Bateman, Pridgeon & M. W. Chase",".","Orchidaceae",".","Geophyte","Neotinea ustulata",".","Neotinea","ustulata",NA,NA,"(L.) R. M. Bateman, Pridgeon & M. W. Chase",".",".",".",".",".",NA,NA,NA,NA,"Native",1708,"76a. Fagetalia sylvaticae","Neotinea ustulata","Neotinea ustulata (L.) R.M.Bateman, Pridgeon & M.W.Chase","Neotinea","","ustulata","","","(L.) R.M.Bateman, Pridgeon & M.W.Chase","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,7,5,6,5
"+","Neottia nidus-avis (L.) Rich.",".","Orchidaceae",".","Geophyte","Neottia nidus-avis",".","Neottia","nidus-avis",NA,NA,"(L.) Rich.",".",".",".",".",".",NA,NA,NA,NA,"Native",1709,"71a. Populetalia albae","Neottia nidus-avis","Neottia nidus-avis (L.) Rich.","Neottia","","nidus-avis","","","(L.) Rich.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,4,5,5,6,5
"+","Neottia ovata (L.) Bluff & Fingerh.",".","Orchidaceae",".","Geophyte","Neottia ovata",".","Neottia","ovata",NA,NA,"(L.) Bluff & Fingerh.",".",".",".",".",".",NA,NA,NA,NA,"Native",1710,"En Onopordenea acanthii","Neottia ovata","Neottia ovata (L.) Bluff & Fingerh.","Neottia","","ovata","","","(L.) Bluff & Fingerh.","Orchidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,5,6,4,6,5
