Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Agrostis canina subsp. canina,Agrostis canina subsp. canina,Agrostis canina subsp. canina,Agrostis canina subsp. canina,Agrostis canina,subsp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostiis capillaris,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,Agrostis capillaris,sp.,Agrostiis,NA,NA,NA,tracheophytes,Yes
Agrostis capillaris,Agrostis capillaris subsp. capillaris,Agrostis capillaris subsp. capillaris,Agrostis capillaris subsp. capillaris,Agrostis capillaris,subsp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis castellana,Agrostis castellana,Agrostis castellana,Agrostis castellana,Agrostis castellana,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis setaceci,Agrostis setacea,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis curtiasii,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,Agrostis curtisii,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,Agrostis gigantea,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis hesperica,Agrostis hesperica,Agrostis hesperica,Agrostis hesperica,Agrostis hesperica,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis rupestris,Agrostis rupestris,Agrostis rupestris,Agrostis rupestris,Agrostis rupestris,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis schleicheri,Agrostis schleicheri,Agrostis schleicheri,Agrostis schleicheri,Agrostis schleicheri,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aagrostis alba subsp. maritima,Agrostis alba subsp. maritima,Agrostis stolonifera,Agrostis stolonifera,Agrostis stolonifera,sp.,Aagrostis,NA,NA,NA,tracheophytes,Yes
Agrostis stolonifera,Agrostis stolonifera subsp. stolonifera,Agrostis stolonifera subsp. stolonifera,Agrostis stolonifera subsp. stolonifera,Agrostis stolonifera,subsp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis tileni,Agrostis tileni,Agrostis tileni,Agrostis tileni,Agrostis tileni,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis vinealis,Agrostis vinealis,Agrostis vinealis ,Agrostis vinealis,Agrostis vinealis,sp.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis XcapillarisXA.castellana,Agrostis capillaris x castellana,Agrostis x dimorpholemma,Agrostis x dimorpholemma,Agrostis x dimorpholemma,hyb.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis XcapillarisXA.stolonifera,Agrostis capillaris x stolonifera,Agrostis x murbeckii,Agrostis x murbeckii,Agrostis x murbeckii,hyb.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis fouilladei+X,Agrostis x fouilladei ,Agrostis x sanionis,Agrostis x sanionis,Agrostis x sanionis,hyb.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis Xfoulladei,Agrostis x fouilladei ,Agrostis x sanionis,Agrostis x sanionis,Agrostis x sanionis,hyb.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Agrostis Xfouilladei,Agrostis x fouilladei ,Agrostis x sanionis,Agrostis x sanionis,Agrostis x sanionis,hyb.,Agrostis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira,Aira,Aira,Aira,Aira,gen.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira caryophyllaea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira cariophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,Aira caryophyllea,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira caryophyllea subsp. caryophyllea,Aira caryophyllea subsp. caryophyllea,Aira caryophyllea subsp. caryophyllea,Aira caryophyllea subsp. caryophyllea,Aira caryophyllea,subsp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira caryophyllea subsp. multiculmis,Aira caryophyllea subsp. multiculmis,Aira caryophyllea subsp. plesiantha,Aira caryophyllea subsp. plesiantha,Aira caryophyllea,subsp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira cupaniana,Aira cupaniana,Aira cupaniana,Aira cupaniana,Aira cupaniana,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira hercynica,Aira hercynica,Aira hercynica,Aira hercynica,Aira hercynica,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Aira praecox,Aira praecox,Aira praecox,Aira praecox,Aira praecox,sp.,Aira,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Airopsis tenella,Airopsis tenella,Airopsis tenella,Airopsis tenella,Airopsis tenella,sp.,Airopsis,Poaceae,Poales,Liliopsida,tracheophytes,Yes
Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys,subsp.,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Ajuga chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys subsp. chamaepitys,Ajuga chamaepitys,subsp.,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Ajuga pyramidalis subsp. meonantha,Ajuga pyramidalis subsp. meonantha,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,subsp.,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Ajuga pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis,subsp.,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Ajuga reptans,Ajuga reptans,Ajuga reptans,Ajuga reptans,Ajuga reptans,sp.,Ajuga,Lamiaceae,Lamiales,Magnoliopsida,tracheophytes,Yes
Albizia julibrissin,Albizia julibrissin,Albizia julibrissin,Albizia julibrissin,Albizia julibrissin,sp.,Albizia,Fabaceae,Fabales,Magnoliopsida,tracheophytes,No
Alchemilla,Alchemilla,Alchemilla,Alchemilla,Alchemilla,gen.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla alpigena,Alchemilla alpigena,Alchemilla alpigena,Alchemilla alpigena,Alchemilla alpigena,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla amphisericea,Alchemilla amphisericea,Alchemilla amphisericea,Alchemilla amphisericea,Alchemilla amphisericea,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla borderei,Alchemilla borderei,Alchemilla borderei,Alchemilla borderei,Alchemilla borderei,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla catalaunica,Alchemilla catalaunica,Alchemilla catalaunica,Alchemilla catalaunica,Alchemilla catalaunica,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla connivens,Alchemilla connivens,Alchemilla connivens,Alchemilla connivens,Alchemilla connivens,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla coriacea,Alchemilla coriacea,Alchemilla coriacea,Alchemilla coriacea,Alchemilla coriacea,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla effusa,Alchemilla effusa,Alchemilla effusa,Alchemilla effusa,Alchemilla effusa,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla flabellata,Alchemilla flabellata,Alchemilla flabellata,Alchemilla flabellata,Alchemilla flabellata,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla fulgens,Alchemilla fulgens,Alchemilla fulgens,Alchemilla fulgens,Alchemilla fulgens,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla fulgida,Alchemilla fulgida,Alchemilla fulgida,Alchemilla fulgida,Alchemilla fulgida,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla glabra,Alchemilla vulgaris subsp. glabra,Alchemilla glabra,Alchemilla glabra,Alchemilla glabra,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla vulgaris,Alchemilla vulgaris subsp. pubescens,Alchemilla glaucescens,Alchemilla glaucescens,Alchemilla glaucescens,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla hispanica,Alchemilla hispanica,Alchemilla hispanica,Alchemilla hispanica,Alchemilla hispanica,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla hoppeana,Alchemilla hoppeana,Alchemilla hoppeana,Alchemilla hoppeana,Alchemilla hoppeana,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla alpina subsp. asterophylla,Alchemilla asterophylla,Alchemilla hoppeana,Alchemilla hoppeana,Alchemilla hoppeana,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
