TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
Rubus echinatus,Euro+Med,Species,,"5,6","2,5",1,"7,1","1,8",1,"2,8","1,7",1,"4,8","1,6",1,,,
Rubus echinosepalus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus egregius,Euro+Med,Species,,"4,2","2,5",3,"5,3","2,2",3,"5,2","3,0",3,"7,4","3,9",3,"3,5","2,7",3
Rubus egregiusculus,Euro+Med,Species,,"4,3","2,3",1,"6,5","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus eifeliensis,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"4,7","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus elatior,Euro+Med,Species,,"4,5","2,6",3,"6,0","3,2",3,"5,7","2,2",3,"7,2","4,0",3,"4,4","2,5",3
Rubus elegans,Euro+Med,Species,,"5,6","1,9",1,"5,0","2,0",1,"5,4","1,8",1,"5,4","1,8",1,"5,0","2,1",1
Rubus elegantispinosus,Euro+Med,Species,,"4,2","2,5",3,"6,4","2,1",3,"5,9","2,1",3,"7,4","3,9",3,"4,2","3,7",3
Rubus epipsilos,Euro+Med,Species,,"4,5","2,6",3,"6,0","3,5",3,"5,7","2,2",3,"7,1","2,4",3,"3,8","2,7",3
Rubus euryanthemus,Euro+Med,Species,,"4,2","2,5",2,"5,3","2,2",2,"4,8","2,1",2,"5,7","4,0",2,"3,9","2,9",2
Rubus fabrimontanus,Euro+Med,Species,,"4,3","1,4",2,"4,8","2,5",2,"3,2","4,1",2,"6,2","2,7",2,"4,1","2,2",2
Rubus fasciculatiformis,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"8,2","1,9",1,"8,2","2,1",1,"4,6","2,3",1
Rubus fasciculatus,Euro+Med,Species,,"4,5","2,6",3,"6,8","2,6",3,"8,0","2,3",3,"8,0","2,3",3,"4,7","2,6",3
Rubus ferocior,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"6,3","5,7",1,"8,2","2,1",1,"3,6","2,3",1
