Percentage synoptic table with fidelity {Phi coeff. C } (29 columns)
;;;34;56;56;127;47;43;10;14;100;5;59;34;69;41;12;80;188;34;24;206;16;71;169;39;228;30;145;144;427
Phleum pratense; 0;   ;  ---;  ---;     5.8;  ---;  ---;     1.1;    43.2;  ---;  ---;  ---;  ---;  ---;     2.0;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.3;  ---;  ---;  ---;     1.8;  ---;  ---;
Avena fatua; 0;   ;  ---;  ---;  ---;  ---;  ---;     4.6;    42.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     6.8;  ---;  ---;  ---;     1.5;
Galium tricornutum; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    41.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.2;  ---;  ---;  ---;     2.3;
Vulpia myuros; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    35.1;  ---;  ---;  ---;  ---;  ---;     2.6;     3.3;  ---;  ---;  ---;  ---;     2.4;  ---;  ---;    11.4;     0.1;  ---;  ---;  ---;     4.1;  ---;  ---;
Achillea odorata; 0;   ;  ---;  ---;     4.6;  ---;  ---;  ---;    34.8;  ---;  ---;  ---;  ---;     8.9;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Ranunculus arvensis; 0;   ;  ---;  ---;  ---;  ---;  ---;     1.9;    32.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.1;  ---;     0.3;  ---;  ---;     7.0;  ---;  ---;  ---;     4.8;
Brassica nigra; 0;   ;  ---;  ---;  ---;     0.6;  ---;  ---;    32.2;  ---;  ---;  ---;  ---;  ---;     0.4;     2.1;  ---;  ---;  ---;  ---;  ---;     2.9;  ---;  ---;  ---;  ---;  ---;  ---;     3.8;     0.3;     0.3;
Medicago lupulina; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    31.8;  ---;  ---;  ---;  ---;  ---;    27.1;     6.8;  ---;  ---;     1.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.2;  ---;     3.2;
Fumaria vaillantii; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    31.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Silene conica; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    30.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
