Original,Alliance,Order,Class,Vegetation,Anthropogenic,Assigned,EUNIS,CANTEUNIS
Galio aparines-Anthriscetum sylvestris,Aegopodion podagrariae,Circaeo lutetianae-Stachyetalia sylvaticae,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,"V39, R55",V39Z
Atropetum belladonnae,Fragarion vescae,Circaeo lutetianae-Stachyetalia sylvaticae,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Not Cantabrian,R57,NA
Comunidad de Convolvulus sepium y Oxalis violacea,Cynancho-Convolvulion sepium,Convolvuletalia sepium,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R55,R55Y
Convolvulo sepium-Eupatorietum cannabini,Cynancho-Convolvulion sepium,Convolvuletalia sepium,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R55,R55Y
Picridio hieracioidis-Eupatorietum cannabini,Cynancho-Convolvulion sepium,Convolvuletalia sepium,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R55,R55Y
Picrido hieracioidis-Eupatorietum cannabinii,Cynancho-Convolvulion sepium,Convolvuletalia sepium,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R55,R55Y
Arundini-Convolvuletum sepium,Senecionion fluviatilis,Convolvuletalia sepium,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R55,R55Z
Asphodelo albi-Epilobietum angustifolii,Epilobion angustifolii,Galeopsio-Senecionetalia sylvatici,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R57,R571
Asphodelo arrondeaui-Epilobietum angustifolii,Epilobion angustifolii,Galeopsio-Senecionetalia sylvatici,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R57,R571
Comunidad de Epilobium angustifolium y Digitalis purpurea,Epilobion angustifolii,Galeopsio-Senecionetalia sylvatici,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,R57,R571
Alliarion petiolatae,Geo urbani-Alliarion officinalis,Galio-Alliarietalia,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,V39,V39Y
Geranietum robertiano-lucidi,Geo urbani-Alliarion officinalis,Galio-Alliarietalia,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,V39,V39Y
Geranio robertiani-Cariolophetum sempervirentis,Geo urbani-Alliarion officinalis,Galio-Alliarietalia,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,V39,V39Y
Geranio robertiani-Caryolophetum sempervirentis,Geo urbani-Alliarion officinalis,Galio-Alliarietalia,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,V39,V39Y
Oxalido acetosellae-Geranietum robertiani,Geo urbani-Alliarion officinalis,Galio-Alliarietalia,Epilobietea angustifolii,ANTHROPOGENIC VEGETATION,Yes,Yes,V39,V39Y
Chrysanthemum-Oxalidetum,Spergulo arvensis-Erodion cicutariae,Eragrostietalia,Digitario sanguinalis-Eragrostietea minoris,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10W
Comunidad de Lamium amplexicaule y Stellaria media,Oxalidion europeae,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10X
Fumario capreolatae-Veronicetum persicae,Oxalidion europeae,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10X
Holosteo umbellati-Veronicetum persicae,Oxalidion europeae,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10X
Lamio amplexicaulis-Veronicetum hederifoliae,Oxalidion europeae,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10X
Oxalidi latifoliae-Veronicetum persicae,Oxalidion europeae,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10X
Aphanion arvensis,Scleranthion annui,Aperetalia spicae-venti,Papaveretea rhoeadis,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13, V15",V10Y
Asociación de Chrysanthemum segetum-Oxalis violacea,Spergulo arvensis-Erodion cicutariae,Eragrostietalia,Digitario sanguinalis-Eragrostietea minoris,ANTHROPOGENIC VEGETATION,Yes,Yes,"V11, V12, V13",V10W
