Alliance (Mucina et al. 2016),Association,Authors of associations,Original association names,Taxonomic references used to revise association names
Scleranthion annui,Spergulario purpureae-Arnoseridetum minimae,Rivas-Martínez & C. Rivas-Martínez 1970,,
Senecionion fluviatilis,Arundini donacis-Calystegietum sepii,Tüxen & Oberdorfer ex O. Bolòs 1962 nom. mut. nov.,"Arundini donacis-Convolvuletum sepium, Tüxen & Oberdorfer ex O. Bolòs 1962.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Senecionion fluviatilis,Picrido hieracioidis-Eupatorietum cannabini,Loidi & C. Navarro 1988,,
Senecionion fluviatilis,Solano dulcamarae-Epilobietum hirsuti,"Biurrun, García-Mijangos, Benito Crespo & Fernández-González 2008",,
Silybo mariani-Urticion piluliferae,Carduo bourgeani-Silybetum mariani,"Rivas-Martínez ex Rivas-Martínez, Costa & Loidi 1992",,
Silybo mariani-Urticion piluliferae,Echio rosulati-Silybetum mariani,"Pulgar, Ortiz & Rodríguez-Oubiña inéd.",,
Sisymbrion officinalis,Bromo diandri-Carduetum tenuiflori,Ortiz inéd.,,
Sisymbrion officinalis,Hordeetum murini,Libbert 1933,,
Sisymbrion officinalis,Sisymbrio officinalis-Hordeetum murini,Br.-Bl. 1967,,
Spergulo arvensis-Erodion cicutariae,Amarantho hybridi-Lipandretum polyspermae,Tüxen & Oberdorfer 1958 nom. mut. nov.,"Amarantho hybridi-Chenopodietum polyspermi, Tüxen & Oberdorfer 1958.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Spergulo arvensis-Erodion cicutariae,Lamio dissecti-Echinochloetum cruris-galli,Tüxen & Oberdorfer 1958 nom. mut. nov.,"Lamio dissecti-Panicetum cruris-galli, Tüxen & Oberdorfer 1958.","POWO. 2023. Plants of the World Online. Facilitated by the Royal Botanic Gardens, Kew. Published on the Internet; http://www.plantsoftheworldonline.org/ Accessed December 2024; Euro+Med. 2006. Euro+Med PlantBase - the information resource for Euro-Mediterranean plant diversity. http://ww2.bgbm.org/EuroPlusMed/ Accessed December 2024"
Spergulo arvensis-Erodion cicutariae,Setario verticillatae-Echinochloetum cruris-galli,Bartolomé & Martínez-Parras 1985,,
