"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"106","T-P04825","Sisymbrio officinalis-Hordeetum murini",2,1984,-4.5842792,43.24157766,"3 - UTM10x10 + Elevation",330,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"107","T-P05175","Sisymbrio officinalis-Hordeetum murini",7,1995,-3.41779029,43.41026656,"1 - UTM1x1 + Elevation",5,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"108","T-P05176","Sisymbrio officinalis-Hordeetum murini",10,1995,-3.410379777,43.41029339,"1 - UTM1x1 + Elevation",10,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"109","T-P05177","Sisymbrio officinalis-Hordeetum murini",4,1995,-3.482984513,43.22091377,"1 - UTM1x1 + Elevation",400,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"110","T-P11681","Sisymbrio officinalis-Hordeetum murini",25,1988,-5.633247428,42.91697961,"4 - UTM10x10 + Centroid",1020,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"111","T-P11682","Sisymbrio officinalis-Hordeetum murini",6,1988,-5.718361471,42.87447482,"3 - UTM10x10 + Elevation",1100,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"112","T-P11683","Sisymbrio officinalis-Hordeetum murini",7,1988,-5.698714819,42.87313904,"3 - UTM10x10 + Elevation",1100,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"113","T-P11684","Sisymbrio officinalis-Hordeetum murini",10,1988,-5.664736949,42.93696707,"3 - UTM10x10 + Elevation",1140,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"114","T-P11685","Sisymbrio officinalis-Hordeetum murini",12,1988,-5.662288369,42.93702408,"3 - UTM10x10 + Elevation",1130,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"115","T-P11686","Sisymbrio officinalis-Hordeetum murini",7,1988,-5.650045362,42.93730836,"3 - UTM10x10 + Elevation",1130,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"116","T-P11687","Sisymbrio officinalis-Hordeetum murini",12,1988,-5.709125862,42.94312798,"3 - UTM10x10 + Elevation",1200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"117","T-P11688","Sisymbrio officinalis-Hordeetum murini",10,1988,-5.766523388,42.91113911,"3 - UTM10x10 + Elevation",1190,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
"118","T-P11689","Sisymbrio officinalis-Hordeetum murini",10,1988,-5.701622197,42.93970367,"3 - UTM10x10 + Elevation",1200,"Sisymbrion officinalis","Sisymbrietalia sophiae","Sisymbrietea","Sisymbrion officinalis"
