"SIVIMID","CANTEUNIS","Original","Alliance","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation"
"R-P22337","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",2,1999,-8.085371374,41.90780044,"1 - UTM1x1 + Elevation",370
"T-P03109","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1986,-3.005250284,43.28316509,"3 - UTM10x10 + Elevation",50
"T-P03102","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",6,1986,-2.814679464,43.12721682,"4 - UTM10x10 + Centroid",303
"Q-P09919","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",2,2000,-7.068164578,41.83317711,"3 - UTM10x10 + Elevation",830
"R-P24474","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",4,2012,-6.695318936,42.42208899,"1 - UTM1x1 + Elevation",477
"T-P02582","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",20,1984,-6.212046888,42.47808839,"3 - UTM10x10 + Elevation",1000
"Q-P02779","U3DZ","Oxalido-Parietarietum","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",20,1969,-3.821186692,43.46727446,"4 - UTM10x10 + Centroid",21
"R-P23777","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",4,1986,-6.855415177,42.37359619,"2 - UTM1x1 + Centroid",663
"T-P03103","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",5,1986,-2.936228824,43.30657379,"4 - UTM10x10 + Centroid",58.5
"S-P17952","U3DZ","Cymbalario-Trachelietum caerulei","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",8,1982,-2.621437042,43.16367641,"1 - UTM1x1 + Elevation",150
"T-P32455","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",10,1966,-1.660185344,43.1312443,"1 - UTM1x1 + Elevation",100
"U-P00531","U3DZ","Cymbalarietum muralis","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",2,2002,-4.903916548,42.98457479,"1 - UTM1x1 + Elevation",1130
"R-P22336","U3DZ","Parietarietum judaicae","Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae",2,1999,-8.092434214,41.90568603,"1 - UTM1x1 + Elevation",390
