"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"50","R-P28996","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",40,2014,-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820,"",NA,"Balloto-Conion maculati"
"51","R-P28997","Carduo nutantis-Cirsietum richterani","Cirsion richterano-chodati","Artemisietea vulgaris","V38",10,2014,-3.698486559,43.11534549,"1 - UTM1x1 + Elevation",1130,"",NA,"Cirsion richterano-chodati"
"52","R-P29001","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V",100,2014,-3.553063157,43.07291722,"1 - UTM1x1 + Elevation",770,"",NA,"Balloto-Conion maculati"
"53","R-P29004","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V39",80,2014,-3.4600105,43.11295076,"2 - UTM1x1 + Centroid",750,"",NA,"Balloto-Conion maculati"
"54","R-P29005","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",100,2014,-3.597753212,43.12131899,"1 - UTM1x1 + Elevation",840,"",NA,"Balloto-Conion maculati"
"55","R-P29006","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",100,2014,-3.597700622,43.11591634,"1 - UTM1x1 + Elevation",840,"",NA,"Balloto-Conion maculati"
"56","R-P29007","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",30,2014,-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820,"",NA,"Balloto-Conion maculati"
"57","S-P11129","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1989,-4.457617041,42.9911302,"1 - UTM1x1 + Elevation",1200,"",NA,"Balloto-Conion maculati"
"58","S-P11130","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","R57",10,1989,-4.429480143,43.04731528,"1 - UTM1x1 + Elevation",1960,"N",2,"Arction lappae"
"59","S-P11132","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","R",20,1989,-4.43201878,43.05088546,"1 - UTM1x1 + Elevation",1760,"SW",5,"Arction lappae"
"60","S-P11135","Senecioni duriaei-Chenopodietum boni-henrici","Arction lappae","Epilobietea angustifolii","R",10,1989,-4.407221638,43.04038732,"1 - UTM1x1 + Elevation",1940,"",NA,"Balloto-Conion maculati"
"61","S-P12113","Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","R57",15,1975,-6.431495524,43.49997367,"3 - UTM10x10 + Elevation",50,"NW",15,"Balloto-Conion maculati"
