"","SIVIMID","X","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1","L2"
"109","T-P06580",1579,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V",8,1995,-2.828591366,42.98767691,"1 - UTM1x1 + Elevation",640,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"110","T-P06582",1581,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",20,1995,-2.877766719,42.93190805,"1 - UTM1x1 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"111","T-P06583",1582,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",25,1995,-2.890037871,42.92291529,"1 - UTM1x1 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"112","T-P06584",1583,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",30,1995,-2.895027842,42.87068951,"1 - UTM1x1 + Elevation",570,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"113","T-P06598",1596,"Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",30,1995,-2.235513263,43.13653517,"1 - UTM1x1 + Elevation",250,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"114","T-P06626",1622,"Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",8,1995,-2.635351482,42.89176958,"1 - UTM1x1 + Elevation",520,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"115","T-P07926",1666,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",20,1999,-1.616720493,42.98664996,"1 - UTM1x1 + Elevation",590,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"116","T-P07927",1667,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",5,1999,-1.552657428,42.89400694,"1 - UTM1x1 + Elevation",500,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"117","T-P07928",1668,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",40,1999,-1.808144245,42.85552861,"1 - UTM1x1 + Elevation",400,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"118","T-P07929",1669,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",25,1999,-1.396851398,42.76225745,"1 - UTM1x1 + Elevation",460,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"119","T-P09638",1682,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",15,1987,-7.225867201,42.5766016,"3 - UTM10x10 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"120","T-P09639",1683,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1987,-7.084262184,42.53492574,"3 - UTM10x10 + Elevation",900,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"121","T-P09640",1684,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",8,1987,-7.128461106,42.54054228,"3 - UTM10x10 + Elevation",850,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"122","T-P09641",1685,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1987,-7.153864656,42.62966002,"3 - UTM10x10 + Elevation",670,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"123","T-P09642",1686,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V",12,1987,-7.134998199,42.63934742,"3 - UTM10x10 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"124","T-P09643",1687,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1987,-7.2087329,42.57543265,"3 - UTM10x10 + Elevation",550,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"125","T-P09644",1688,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",15,1987,-7.144253079,42.63180946,"3 - UTM10x10 + Elevation",650,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"126","T-P09645",1689,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",8,1987,-7.392091014,42.61895774,"3 - UTM10x10 + Elevation",550,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"127","T-P09646",1690,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","?",16,1987,-7.116600445,42.65621784,"3 - UTM10x10 + Elevation",650,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"128","T-P09647",1691,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1987,-7.170412927,42.62185481,"3 - UTM10x10 + Elevation",600,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"129","T-P09648",1692,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",40,1987,-7.656255378,42.59770078,"3 - UTM10x10 + Elevation",650,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"130","T-P09649",1693,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",12,1987,-6.836681633,42.38862487,"3 - UTM10x10 + Elevation",700,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"131","T-P09650",1694,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1987,-7.162721958,42.65274755,"3 - UTM10x10 + Elevation",730,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"132","T-P09651",1695,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1987,-7.064900794,42.64906338,"3 - UTM10x10 + Elevation",880,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"133","T-P10797",1703,"Galio aparines-Conietum maculati","Arction lappae","Epilobietea angustifolii","V39",3,1984,-6.498769109,41.85736331,"3 - UTM10x10 + Elevation",690,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"134","T-P11659",1732,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",2,1988,-5.652107694,42.92825608,"3 - UTM10x10 + Elevation",1130,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"135","T-P11660",1733,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V32",20,1988,-5.687993416,42.8517805,"3 - UTM10x10 + Elevation",1140,"S",4.5,"Epilobietea angustifolii","Alliarienion petiolatae"
"136","T-P11664",1737,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",15,1988,-5.633247428,42.91697961,"4 - UTM10x10 + Centroid",1000,"S",4.5,"Epilobietea angustifolii","Alliarienion petiolatae"
"137","T-P11884",1800,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",40,1988,-5.018145493,42.83942945,"4 - UTM10x10 + Centroid",950,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"138","T-P11886",1802,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",12,1988,-5.583514501,42.98745447,"3 - UTM10x10 + Elevation",1260,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"139","T-P11888",1803,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",40,1988,-5.503423208,42.82715264,"3 - UTM10x10 + Elevation",1030,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"140","T-P11889",1804,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",40,1988,-5.688575971,42.97782968,"3 - UTM10x10 + Elevation",1240,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"141","T-P11890",1805,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1988,-4.888793567,42.89117522,"3 - UTM10x10 + Elevation",1370,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"142","T-P12282",1887,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","?",5,1988,-6.534923633,42.93859187,"3 - UTM10x10 + Elevation",890,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"143","T-P12283",1888,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,1988,-6.544916555,42.94188403,"3 - UTM10x10 + Elevation",930,"SE",18,"Epilobietea angustifolii","Alliarienion petiolatae"
"144","T-P13195",1921,"Atropetum belladonnae","Fragarion vescae","Epilobietea angustifolii","R57",50,1997,-1.552468146,42.69228827,"1 - UTM1x1 + Elevation",1100,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"145","T-P13196",1922,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",6,1997,-2.759690412,43.04158337,"2 - UTM1x1 + Centroid",1090,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"146","T-P13198",1923,"Oxalido acetosellae-Geranietum robertiani","Alliarienion petiolatae","Epilobietea angustifolii","R55",15,1997,-1.103909513,42.9901076,"1 - UTM1x1 + Elevation",890,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"147","T-P13199",1924,"Oxalido acetosellae-Geranietum robertiani","Alliarienion petiolatae","Epilobietea angustifolii","R55",15,1997,-1.106472059,42.98654814,"1 - UTM1x1 + Elevation",890,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"148","T-P13200",1925,"Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","R55",150,1997,-2.892541738,42.89229986,"1 - UTM1x1 + Elevation",580,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"149","T-P13204",1928,"Comunidad de Pastinaca sylvestris y Heracleum sphondylium","Arction lappae","Epilobietea angustifolii","R22",30,1997,-2.627862517,42.91515908,"1 - UTM1x1 + Elevation",520,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"150","T-P36750",2317,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",12,1993,-7.298613953,42.64231779,"2 - UTM1x1 + Centroid",600,"S",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"151","T-P36751",2318,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","R55",15,1993,-7.47602842,42.59949657,"1 - UTM1x1 + Elevation",370,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"152","T-P36752",2319,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",20,1993,-7.473211811,42.59420475,"1 - UTM1x1 + Elevation",330,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"153","T-P36753",2320,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",12,1993,-7.556365816,42.56481157,"2 - UTM1x1 + Centroid",320,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"154","T-P36754",2321,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",15,1993,-7.476012833,42.56528419,"1 - UTM1x1 + Elevation",330,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"155","T-P36755",2322,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",25,1993,-7.440211869,42.57568335,"1 - UTM1x1 + Elevation",380,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"156","T-P36756",2323,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",15,1993,-7.587462991,42.49064127,"1 - UTM1x1 + Elevation",280,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"157","T-P36757",2324,"Geranio robertiani-Caryolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",16,1993,-7.618385246,42.54701789,"2 - UTM1x1 + Centroid",410,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"158","T-P36759",2326,"Urtico-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",12,1993,-7.620455797,42.50912038,"1 - UTM1x1 + Elevation",380,"SE",5,"Epilobietea angustifolii","Alliarienion petiolatae"
"159","T-P36760",2327,"Urtico-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V32",5,1993,-7.608540829,42.54561442,"1 - UTM1x1 + Elevation",440,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"160","T-P36761",2328,"Urtico-Smyrnietum olusatri","Smyrnienion olusatri","Epilobietea angustifolii","V39",15,1993,-7.618385246,42.54701789,"2 - UTM1x1 + Centroid",410,"",0,"Epilobietea angustifolii","Alliarienion petiolatae"
"161","U-P00152",2410,"Origanetalia vulgaris","Unknown",NA,"R57",20,2001,-5.070228293,43.04291812,"1 - UTM1x1 + Elevation",1175,"E",60,"Epilobietea angustifolii","Alliarienion petiolatae"
"162","U-P00649",2445,"Geranio robertiani-Cariolophetum sempervirentis","Alliarienion petiolatae","Epilobietea angustifolii","V39",10,2002,-4.94031511,42.89391527,"3 - UTM10x10 + Elevation",1370,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"163","U-P05018",2447,"Oxalido acetosellae-Geranietum robertiani","Alliarienion petiolatae","Epilobietea angustifolii","R",6,2005,-2.396940742,42.97541048,"1 - UTM1x1 + Elevation",740,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
"164","U-P05024",2448,"Geranietum robertiano-lucidi","Alliarienion petiolatae","Epilobietea angustifolii","V39",6,2005,-1.862386131,42.83446799,"1 - UTM1x1 + Elevation",850,"",NA,"Epilobietea angustifolii","Alliarienion petiolatae"
