"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"73","R-P23942","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,1986,-6.951458027,42.35950892,"3 - UTM10x10 + Elevation",960,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"74","R-P23944","Geranio robertiani-Caryolophetum sempervirentis","V39Y",4,1986,-6.93725768,42.36540068,"3 - UTM10x10 + Elevation",900,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"75","R-P23945","Geranio robertiani-Caryolophetum sempervirentis","V39Y",4,1986,-6.798471247,42.35928467,"3 - UTM10x10 + Elevation",1260,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"76","R-P23948","Geranio robertiani-Caryolophetum sempervirentis","V39Y",20,1986,-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"77","R-P23949","Geranio robertiani-Caryolophetum sempervirentis","V39Z",25,1986,-6.860262829,42.37702709,"1 - UTM1x1 + Elevation",660,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"78","R-P24572","Chenopodio boni-henrici-Senecionetum nebrodensis","V39W",30,2012,-6.599197585,42.44128291,"2 - UTM1x1 + Centroid",1840,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Arction lappae"
"79","R-P24577","Asphodelo arrondeaui-Epilobietum angustifolii","R571",10,2012,-6.652205886,42.22357417,"1 - UTM1x1 + Elevation",1744,"Epilobion angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobietea angustifolii","Epilobion angustifolii"
"80","R-P24578","Asphodelo arrondeaui-Epilobietum angustifolii","R571",8,2012,-6.652517158,42.22896696,"1 - UTM1x1 + Elevation",1749,"Epilobion angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobietea angustifolii","Epilobion angustifolii"
"81","R-P24579","Asphodelo arrondeaui-Epilobietum angustifolii","R571",5,2012,-6.739807386,42.39363141,"1 - UTM1x1 + Elevation",1198,"Epilobion angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobietea angustifolii","Epilobion angustifolii"
"82","R-P24580","Asphodelo arrondeaui-Epilobietum angustifolii","R571",10,2012,-6.754985079,42.28148099,"1 - UTM1x1 + Elevation",1798,"Epilobion angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobietea angustifolii","Epilobion angustifolii"
"83","R-P24581","Asphodelo arrondeaui-Epilobietum angustifolii","R571",8,2012,-6.754985079,42.28148099,"1 - UTM1x1 + Elevation",1800,"Epilobion angustifolii","Galeopsio-Senecionetalia sylvatici","Epilobietea angustifolii","Epilobion angustifolii"
"84","R-P24655","Geranio robertiani-Caryolophetum sempervirentis","V39Y",25,2012,-6.649650471,42.26327545,"1 - UTM1x1 + Elevation",1020,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"85","R-P24656","Geranio robertiani-Caryolophetum sempervirentis","V39Y",5,2012,-6.673297363,42.33635588,"1 - UTM1x1 + Elevation",902,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
