"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"60","R-P23991","Anthrisco-Geranietum lucidi","V39Y",4,1986,-6.799957766,42.30340878,"3 - UTM10x10 + Elevation",900,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"61","R-P23992","Anthrisco-Geranietum lucidi","V37Z",10,1986,-6.875592824,42.42873318,"3 - UTM10x10 + Elevation",680,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"62","R-P23993","Anthrisco-Geranietum lucidi","V37Z",2,1986,-6.967014134,42.37517826,"3 - UTM10x10 + Elevation",960,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"63","R-P23994","Anthrisco-Geranietum lucidi","V37Z",2,1986,-7.023324777,42.38221689,"3 - UTM10x10 + Elevation",960,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"64","R-P23996","Anthrisco-Geranietum lucidi","V37Z",4,1986,-6.906982932,42.38624705,"3 - UTM10x10 + Elevation",680,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"65","R-P23997","Anthrisco-Geranietum lucidi","V37Z",1,1986,-6.831084897,42.3365878,"3 - UTM10x10 + Elevation",1040,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"66","R-P24670","Chelidonio maji-Smyrnietum olusatri","V39Z",10,2012,-6.658718358,42.41966287,"1 - UTM1x1 + Elevation",610,"Allion triquetri","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"67","R-P24684","Galio aparinellae-Anthriscetum caucalidis","V37Z",5,2012,-6.50622748,42.30017212,"1 - UTM1x1 + Elevation",821,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"68","R-P24685","Galio aparinellae-Anthriscetum caucalidis","V37Z",2,2012,-6.713983213,42.40887898,"1 - UTM1x1 + Elevation",778,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"69","R-P24686","Galio aparinellae-Anthriscetum caucalidis","V10X",5,2012,-6.501583283,42.30391603,"1 - UTM1x1 + Elevation",815,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"70","R-P24687","Galio aparinellae-Anthriscetum caucalidis","V37Z",4,2012,-6.501583283,42.30391603,"1 - UTM1x1 + Elevation",819,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"71","R-P24688","Galio aparinellae-Anthriscetum caucalidis","V37Z",3,2012,-6.510149403,42.32706571,"1 - UTM1x1 + Elevation",991,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"72","R-P24689","Galio aparinellae-Anthriscetum caucalidis","V37Z",1,2012,-6.774241929,42.44112419,"1 - UTM1x1 + Elevation",655,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"73","R-P24690","Galio aparinellae-Anthriscetum caucalidis","V37Z",3,2012,-6.730214726,42.39574523,"1 - UTM1x1 + Elevation",949,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"74","R-P24691","Galio aparinellae-Anthriscetum caucalidis","V37Z",8,2012,-6.50622748,42.30017212,"1 - UTM1x1 + Elevation",825,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"75","R-P24692","Galio aparinellae-Anthriscetum caucalidis","V37Z",1,2012,-6.656292335,42.41974038,"1 - UTM1x1 + Elevation",589,"Geranio pusilli-Anthriscion caucalidis","Geranio purpureae-Cardaminetalia hirsutae","Chenopodietea","Geranio pusilli-Anthriscion caucalidis"
"76","R-P27073","Coleostepho myconis-Galactitetum tomentosae","V332",10,1985,-5.814756567,43.6140776,"4 - UTM10x10 + Centroid",48,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
