Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Bromopsis erecta,  ---,  ---,  ---,13,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2,  ---,1.5
Reichardia picroides,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5,  ---,  ---,18.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Campanula rapunculus,  ---,  ---,  ---,  ---,  ---,  ---,6.6,  ---,  ---,5,8.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.3
Holosteum umbellatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.2,  ---,  ---,  ---,  ---,13.5,  ---,  ---,  ---,4.8
Lathyrus angulatus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.8,  ---,  ---,  ---,  ---
Trisetaria ovata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,26,  ---,  ---,  ---,  ---
Moenchia erecta,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,26,  ---,  ---,  ---,  ---
Alopecurus pratensis,  ---,  ---,  ---,7.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.5,  ---,1.4
Micropyrum tenellum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,21.1,  ---,1.5,  ---,1.4
Herniaria glabra,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.4,18.1,3.7,  ---,  ---,  ---,  ---
Campanula erinus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,12,  ---,  ---,  ---,  ---,8.5,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,1.5,  ---,  ---
Aquilegia dichroa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,21.5,  ---,  ---,  ---,  ---,3.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Allium sphaerocephalon,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.5,  ---,  ---,0.6
Leontodon hispidus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.7,  ---,  ---,  ---,3.8
Zantedeschia aethiopica,  ---,26.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Myosotis ramosissima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.5,  ---,  ---,  ---,  ---,  ---,3,  ---,  ---,  ---,  ---,3.7,  ---,  ---,  ---,  ---
Eryngium tenue,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,25.6,  ---,  ---,  ---,  ---
Centaurium erythraea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3
Tragopogon dubius,10.4,  ---,  ---,  ---,  ---,9.2,  ---,  ---,  ---,4.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Althaea officinalis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.2,  ---,  ---,  ---,22.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6
Avena byzantina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,26.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lepidium virginicum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.9,  ---,  ---,  ---,11.4,  ---,2.1
Trifolium campestre,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.5,17.8,  ---,  ---,  ---,  ---,14.8,  ---,  ---,0.6,  ---,  ---,1.8,  ---,6.5,  ---,4.3
Carex muricata,  ---,  ---,  ---,  ---,  ---,  ---,2.6,  ---,  ---,4.7,17.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ranunculus bulbosus,  ---,  ---,  ---,1.6,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,1.2,  ---,  ---,4.9,  ---,3.6,  ---,  ---,5.1,  ---,  ---,  ---,1.3
Ammi majus,  ---,  ---,  ---,  ---,6.9,  ---,  ---,  ---,  ---,16.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---
Rosa canina aggr.,  ---,  ---,  ---,4.2,  ---,  ---,  ---,  ---,  ---,4.7,8.1,  ---,  ---,5.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Teesdalia coronopifolia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,  ---,25,  ---,  ---,  ---,  ---
Papaver argemone,  ---,  ---,  ---,1.5,  ---,  ---,  ---,  ---,  ---,4.6,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,  ---,  ---,11.1,  ---,1.4,  ---,2.1
Cerastium gracile,  ---,  ---,8.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.1,  ---,  ---,  ---,  ---
Lathyrus aphaca,  ---,  ---,  ---,6.8,  ---,  ---,  ---,  ---,  ---,4.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,  ---,  ---,  ---,9.1
Primula acaulis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,20.6,  ---,  ---,  ---,  ---,5.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium incarnatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,23.4,  ---,  ---,  ---
Trisetum flavescens,  ---,  ---,  ---,4.1,  ---,  ---,  ---,  ---,  ---,  ---,16.8,  ---,  ---,3.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Alchemilla xanthochlora,  ---,  ---,8,9.2,  ---,  ---,6,  ---,  ---,  ---,  ---,  ---,  ---,1.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Parentucellia viscosa,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5,  ---,  ---,  ---,  ---,9.3,  ---,  ---,  ---,  ---,  ---,  ---,9.4,  ---,  ---,  ---,1.2
Epilobium hirsutum,3.2,  ---,  ---,  ---,5.4,  ---,  ---,  ---,29.4,0.5,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5
Carduus nigrescens,  ---,  ---,  ---,  ---,  ---,  ---,27,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Scandix pecten-veneris,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1,  ---,  ---,4.6,  ---,  ---,  ---,  ---,12.2,  ---,1.3,  ---,4.2
Agrostemma githago,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,24.1,  ---,  ---,  ---,2.7
Cynosurus cristatus,  ---,  ---,  ---,  ---,  ---,  ---,9.4,  ---,  ---,10,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.3,  ---,  ---,0.4,  ---,  ---,  ---,0.4
Anisantha rubens,  ---,  ---,  ---,4,  ---,8.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.1,  ---,  ---
Erucastrum nasturtiifolium,  ---,  ---,25.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sporobolus indicus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1,  ---,  ---,  ---,1.2,  ---,11.8
Filago gallica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,7.7,3.4,  ---,10.6,  ---,  ---,  ---,1.2
Sparganium erectum,  ---,  ---,  ---,  ---,6.5,  ---,  ---,  ---,19.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Odontites vernus,  ---,  ---,  ---,1.4,  ---,8.5,  ---,  ---,  ---,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,10.6,  ---,  ---,  ---,  ---
Juncus effusus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,19.7,  ---,  ---,  ---,  ---,5.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1
Linaria angustissima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Osyris alba,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cyperus capitatus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Genista tridentata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Euphorbia terracina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sonchus bulbosus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Biscutella laevigata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cynoglossum dioscoridis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Festuca summilusitana aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Phelipanche arenaria,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Paronychia argentea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Centaurea sphaerocephala,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Phleum arenarium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Fraxinus excelsior,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,19.7,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Polypogon monspeliensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,20.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1
Scrophularia scorodonia,  ---,7.2,  ---,1.5,  ---,  ---,  ---,  ---,  ---,8.6,10.7,  ---,  ---,4.1,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3
Amaranthus powellii,  ---,  ---,  ---,  ---,28.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lathyrus linifolius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Valeriana montana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Periballia involucrata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Salix x multidentata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vicia orobus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vinca major,  ---,17.5,7.6,1.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anisantha tectorum,  ---,5.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.3,  ---,  ---,0.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,  ---,1.2,  ---,2.6
Carex hirta,  ---,  ---,  ---,  ---,6.2,  ---,  ---,  ---,19.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1
Melica ciliata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.5,  ---,  ---,16.2,0.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carex cuprina,  ---,  ---,  ---,1.3,  ---,  ---,  ---,  ---,  ---,  ---,7.3,  ---,  ---,3,8.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4
Doronicum austriacum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3
Gentiana lutea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3
Aristolochia paucinervis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Leopoldia comosa,  ---,  ---,  ---,1.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.7,  ---,  ---,  ---,  ---,22.8,  ---,  ---,  ---,1
Hypericum pulchrum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2,  ---,  ---,  ---,  ---
Echium rosulatum,  ---,0.8,  ---,  ---,20.1,  ---,  ---,  ---,  ---,8.5,6.2,  ---,  ---,  ---,  ---,5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0,  ---,1
Dryopteris filix-mas,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Omphalodes nitida,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Leucanthemum ircutianum aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Elymus caninus,  ---,  ---,  ---,1.2,13.2,  ---,  ---,  ---,  ---,4,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.7
Chelidonium majus,2.7,28.3,  ---,  ---,  ---,  ---,  ---,3.6,  ---,  ---,  ---,  ---,0.3,10.3,7.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.2,  ---,  ---,  ---
Geranium columbinum,  ---,  ---,  ---,1.2,  ---,  ---,  ---,  ---,  ---,  ---,15.2,  ---,  ---,  ---,8.4,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anchusa azurea,  ---,  ---,  ---,  ---,  ---,26.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,0.2
Juncus inflexus,  ---,  ---,  ---,  ---,  ---,  ---,2.1,  ---,8.7,  ---,7,  ---,  ---,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6.7
Geranium pusillum,  ---,  ---,15.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.3,  ---,0.2
Conopodium majus,  ---,  ---,  ---,1.2,  ---,  ---,2.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.4,  ---,  ---,  ---,  ---,  ---,  ---,12.6,  ---,  ---,  ---,0.9
Gnaphalium sylvaticum,  ---,  ---,  ---,  ---,  ---,  ---,2.1,  ---,  ---,  ---,  ---,26.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Festuca elegans,  ---,  ---,  ---,  ---,  ---,  ---,2.1,  ---,  ---,  ---,  ---,26.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sedum anglicum,  ---,  ---,  ---,  ---,  ---,  ---,2.1,10.1,  ---,  ---,  ---,  ---,11.4,2.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Oenothera rosea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.5,  ---,9.1,7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,  ---,  ---,  ---,1,  ---,  ---
Clinopodium nepeta,8.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.9,  ---,  ---,7.1,0.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,2.3
Dorycnium rectum,  ---,4.7,  ---,8.2,  ---,  ---,  ---,  ---,  ---,14.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Nasturtium officinale,  ---,  ---,  ---,  ---,19.9,  ---,  ---,  ---,8.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Drabella muralis,  ---,  ---,  ---,1.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.8,17.7,  ---,2.3,  ---,  ---,  ---,  ---,  ---,  ---,1,  ---,  ---
Asplenium obovatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.5,  ---,  ---,  ---,  ---,2.9,  ---,8.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2
Gaudinia fragilis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.9,14.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.5,  ---,  ---,  ---,1.6
Hypericum tetrapterum,8.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,18,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.6
Vicia lutea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23,  ---,0.9,  ---,4.3
Potentilla erecta,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8
Adenocarpus complicatus aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22.4,  ---,  ---,0.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,2.9
Ficaria verna,8.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.6,  ---,  ---,12.4,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---
Glaucium flavum,  ---,  ---,  ---,1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,25.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,0.1
Lapsana communis,1.2,1.1,1.9,11.6,  ---,6.7,  ---,  ---,  ---,0.2,  ---,  ---,  ---,16.3,18.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.6,1.4,  ---,  ---
Sixalix atropurpurea,  ---,  ---,  ---,  ---,  ---,24.5,  ---,  ---,  ---,3.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,  ---
Euphorbia segetalis,  ---,  ---,  ---,  ---,  ---,7.3,  ---,  ---,  ---,18.3,  ---,  ---,2.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Phleum nodosum,  ---,4.4,  ---,  ---,  ---,  ---,8,  ---,  ---,8.5,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5,  ---,  ---
Montia fontana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.5,  ---,  ---,0.7,  ---,22.2,  ---,  ---,  ---,  ---
Laurus nobilis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,8.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,19.9,  ---,  ---,0.8
Carduus carlinoides,  ---,  ---,14.5,  ---,  ---,7.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.9,  ---,  ---
Fumaria martinii,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.1,  ---,  ---,  ---,  ---,23.4,  ---,  ---,  ---,  ---
Lactuca viminea,  ---,  ---,6.6,3.2,  ---,7.3,1.8,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,0.1
Reseda phyteuma,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,29.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,  ---,  ---
Arctotheca calendula,  ---,4.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,14,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.6,2.7,  ---,0,  ---,0.8,  ---,0
Pseudarrhenatherum longifolium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4,  ---,  ---,6.3,  ---,  ---,0.6,7.6,  ---,  ---,  ---,2.6,  ---,  ---,  ---,  ---,  ---,  ---,3.4
Plantago media,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,17.9,  ---,  ---,  ---,  ---,  ---,  ---,2,  ---,2.6,4.6,  ---,  ---,  ---,  ---,  ---,0
