"","SIVIMID","X","Sintaxon","Relevé.number","Revised.alliance","EUNIS2020","Aspect","Slope","Area","Year","DEG_LON","DEG_LAT","Accuracy","Elevation","Alliance","Class","Semisupervised","Revised.class"
"47","U-P12304",2513,"Cypero eragrostidi-Bidentetum frondosae",612304,"Bidention tripartitae"," C35a  ","",0,45,"2006",-7.897768521,42.35172904,"1 - UTM1x1 + Elevation",95,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"48","U-P12305",2514,"Cypero eragrostidi-Bidentetum frondosae",612305,"Bidention tripartitae"," Qb    ","",0,80,"2006",-7.875992694,42.3526594,"1 - UTM1x1 + Elevation",100,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"49","U-P12306",2515,"Cypero eragrostidi-Bidentetum frondosae",612306,"Bidention tripartitae"," C35a  ","",0,75,"2006",-7.087267098,42.3943577,"1 - UTM1x1 + Elevation",315,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"50","U-P12307",2516,"Cypero eragrostidi-Bidentetum frondosae",612307,"Bidention tripartitae","R55","",NA,30,"2006",-7.087267098,42.3943577,"1 - UTM1x1 + Elevation",315,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"51","U-P12308",2517,"Cypero eragrostidi-Bidentetum frondosae",612308,"Bidention tripartitae"," Q51   ","",5,50,"2006",-7.851381053,42.34830404,"1 - UTM1x1 + Elevation",100,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"52","U-P12309",2518,"Cypero eragrostidi-Bidentetum frondosae",612309,"Bidention tripartitae"," C35a  ","",NA,100,"2006",-7.188698838,42.38528796,"1 - UTM1x1 + Elevation",295,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"53","U-P12310",2519,"Cypero eragrostidi-Bidentetum frondosae",612310,"Bidention tripartitae"," C35a  ","",10,16,"2006",-8.633481255,42.7319444,"1 - UTM1x1 + Elevation",2,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"54","U-P12311",2520,"Cypero eragrostidi-Bidentetum frondosae",612311,"Bidention tripartitae"," C35a  ","",10,20,"2006",-8.633481255,42.7319444,"1 - UTM1x1 + Elevation",10,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"55","U-P12312",2521,"Cypero eragrostidi-Bidentetum frondosae",612312,"Bidention tripartitae"," C35a  ","",25,30,"2006",-8.585497433,42.74150376,"1 - UTM1x1 + Elevation",20,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"56","U-P12313",2522,"Cypero eragrostidi-Bidentetum frondosae",612313,"Bidention tripartitae"," Qb    ","",NA,18,"2006",-7.72860688,42.45878285,"2 - UTM1x1 + Centroid",120,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"57","U-P12314",2523,"Cypero eragrostidi-Bidentetum frondosae",612314,"Bidention tripartitae"," C35a  ","",0,60,"2006",-8.614620623,41.75884187,"3 - UTM10x10 + Elevation",10,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"58","U-P12315",2524,"Cypero eragrostidi-Bidentetum frondosae",612315,"Bidention tripartitae"," Qb    ","",0,60,"2006",-8.464409098,41.80211652,"3 - UTM10x10 + Elevation",25,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"59","U-P12316",2525,"Cypero eragrostidi-Bidentetum frondosae",612316,"Bidention tripartitae"," R36   ","",5,20,"2006",-7.863751698,42.03626869,"1 - UTM1x1 + Elevation",600,"Bidention tripartitae","Bidentetea",0,"Bidentetea"
"60","U-P12317",2526,"Cypero eragrostidi-Bidentetum frondosae",612317,"Bidention tripartitae"," C35a  ","",5,30,"2006",-8.790970721,42.87529564,"1 - UTM1x1 + Elevation",240,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"61","U-P12318",2527,"Cypero eragrostidi-Bidentetum frondosae",612318,"Bidention tripartitae"," C35a  ","",5,80,"2006",-8.732723129,42.90704323,"1 - UTM1x1 + Elevation",145,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"62","U-P12319",2528,"Cypero eragrostidi-Bidentetum frondosae",612319,"Bidention tripartitae"," C35a  ","",0,120,"2006",-8.649374652,42.74556232,"1 - UTM1x1 + Elevation",5,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"63","U-P12320",2529,"Cypero eragrostidi-Bidentetum frondosae",612320,"Bidention tripartitae"," C35a  ","",0,50,"2006",-8.145366263,42.29213397,"2 - UTM1x1 + Centroid",70,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"64","U-P12321",2530,"Cypero eragrostidi-Bidentetum frondosae",612321,"Bidention tripartitae"," C35a  ","",NA,50,"2006",-8.654818506,42.85871873,"1 - UTM1x1 + Elevation",45,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"65","U-P12322",2531,"Cypero eragrostidi-Bidentetum frondosae",612322,"Bidention tripartitae"," C35a  ","",10,25,"2006",-7.348977197,42.4549398,"1 - UTM1x1 + Elevation",245,"Bidention tripartitae","Bidentetea",1,"Bidentetea"
"66","U-P12323",2532,"Filaginello uliginosae-Bidentetum tripartitae",612323,"Paspalo-Agrostion semiverticillati"," Q51   ","",NA,75,"2006",-8.277197325,43.27830926,"1 - UTM1x1 + Elevation",35,"Unknown",NA,0,"Bidentetea"
"67","U-P12324",2533,"Filaginello uliginosae-Bidentetum tripartitae",612324,"Bidention tripartitae"," C35a  ","",NA,20,"2006",-7.826181572,42.05046298,"1 - UTM1x1 + Elevation",610,"Unknown",NA,0,"Bidentetea"
"68","U-P12325",2534,"Filaginello uliginosae-Bidentetum tripartitae",612325,"Paspalo-Agrostion semiverticillati"," C35a  ","",5,80,"2006",-7.941702648,41.98251327,"1 - UTM1x1 + Elevation",550,"Unknown",NA,0,"Bidentetea"
"69","U-P12326",2535,"Filaginello uliginosae-Bidentetum tripartitae",612326,"Paspalo-Agrostion semiverticillati"," C35a  ","",NA,60,"2006",-7.122302869,42.14999299,"1 - UTM1x1 + Elevation",650,"Unknown",NA,0,"Bidentetea"
"70","U-P12327",2536,"Filaginello uliginosae-Bidentetum tripartitae",612327,"Bidention tripartitae"," Q51   ","",NA,75,"2006",-8.287014902,43.27785462,"1 - UTM1x1 + Elevation",35,"Unknown",NA,0,"Bidentetea"
"71","U-P12328",2537,"Filaginello uliginosae-Bidentetum tripartitae",612328,"Bidention tripartitae"," C35a  ","",0,25,"2006",-8.945911905,42.98434854,"1 - UTM1x1 + Elevation",280,"Unknown",NA,0,"Bidentetea"
"72","U-P12329",2538,"Filaginello uliginosae-Bidentetum tripartitae",612329,"Paspalo-Agrostion semiverticillati"," C35a  ","",5,60,"2006",-9.007429302,42.98652566,"1 - UTM1x1 + Elevation",275,"Unknown",NA,0,"Bidentetea"
"73","U-P12330",2539,"Filaginello uliginosae-Bidentetum tripartitae",612330,"Paspalo-Agrostion semiverticillati"," C35a  ","",30,40,"2006",-7.612694662,42.79933794,"2 - UTM1x1 + Centroid",320,"Unknown",NA,0,"Bidentetea"
