"SIVIMID","CANTEUNIS"
"T-P06605","V39Z"
"Q-P08752","V39Z"
"T-P06571","V39Z"
"T-P06621","V39Z"
"T-P09644","V39Z"
"S-P16235","V39Z"
"T-P06569","V39Z"
"R-P22242","V39Z"
"T-P06577","V39Z"
"T-P09639","V39Z"
"T-P09638","V39Z"
"U-P05024","V39Z"
"T-P11656","V39Z"
"R-P24657","V39Z"
"T-P06567","V39Z"
"T-P36756","V39Z"
"T-P09646","V39Z"
"T-P09642","V39Z"
"S-P10953","V39Z"
"T-P06545","V39Z"
"T-P06584","V39Z"
"S-P15153","V39Z"
"T-P06629","V39Z"
"T-P06557","V39Z"
"R-P23941","V39Z"
"R-P23948","V39Z"
"T-P09647","V39Z"
"T-P06566","V39Z"
"Q-P10111","V39Z"
"T-P36755","V39Z"
"T-P36753","V39Z"
"T-P07930","V39Z"
"S-P11142","V39Z"
"U-P13628","V39Z"
"S-P15154","V39Z"
"T-P09651","V39Z"
"T-P06627","V39Z"
"T-P06552","V39Z"
"R-P23944","V39Z"
"Q-P10106","V39Z"
"Q-P10110","V39Z"
"U-P13629","V39Z"
"T-P36754","V39Z"
"T-P11659","V39Z"
"T-P09640","V39Z"
"T-P06563","V39Z"
"T-P06582","V39Z"
"U-P05018","V39Z"
"T-P11660","V39Z"
"Q-P10105","V39Z"
"R-P15157","V39Z"
"Q-P10108","V39Z"
"S-P16236","V39Z"
"R-P22246","V39Z"
"T-P11884","V39Z"
"T-P04819","V39Z"
"T-P06595","V39Z"
"T-P27869","V39Z"
"T-P06551","V39Z"
"R-P24667","V39Z"
"S-P16229","V39Z"
"R-P24665","V39Z"
"S-P16228","V39Z"
"S-P15158","V39Z"
"T-P12282","V39Z"
"R-P23949","V39Z"
"T-P23962","V39Z"
"T-P04812","V39Z"
"T-P09650","V39Z"
"T-P13199","V39Z"
"T-P06591","V39Z"
"R-P24661","V39Z"
"R-P24659","V39Z"
"T-P36752","V39Z"
"T-P13196","V39Z"
"R-P24666","V39Z"
"S-P19751","V39Z"
"T-P13200","V39Z"
"R-P23991","V39Z"
"T-P11873","V39Z"
"R-P24669","V39Z"
"T-P12283","V39Z"
"Q-P10091","V39Z"
"R-P29002","V39Z"
"T-P36750","V39Z"
"R-P14822","V39Z"
"T-P36747","V39Z"
"R-P24658","V39Z"
"S-P21809","V39Z"
"T-P06547","V39Z"
"T-P11886","V39Z"
"R-P24655","V39Z"
"S-P21810","V39Z"
"T-P06560","V39Z"
"U-P00592","V39Z"
"T-P06578","V39Z"
"R-P24656","V39Z"
"R-P22244","V39Z"
"T-P11889","V39Z"
"R-P15156","V39Z"
"T-P06570","V39Z"
"Q-P09157","V39Z"
"T-P12041","V39Z"
"T-P06575","V39Z"
"R-P23945","V39Z"
"T-P06558","V39Z"
"S-P16231","V39Z"
"T-P06559","V39Z"
"T-P09645","V39Z"
"T-P06604","V39Z"
"R-P15154","V39Z"
"U-P06411","V39Z"
"R-P15150","V39Z"
"T-P06576","V39Z"
"S-P15156","V39Z"
"T-P06586","V39Z"
"S-P15157","V39Z"
"Q-P09156","V39Z"
"Q-P08753","V39Z"
"T-P06606","V39Z"
"T-P11658","V39Z"
"T-P11663","V39Z"
"R-P15152","V39Z"
"T-P06590","V39Z"
"T-P06556","V39Z"
"Q-P10090","V39Z"
"T-P06592","V39Z"
"S-P15152","V39Z"
"S-P12115","V39Z"
"S-P11141","V39Z"
"T-P06598","V39Z"
"T-P06599","V39Z"
"T-P11653","V39Z"
"T-P06600","V39Z"
"T-P06607","V39Z"
"Q-P10107","V39Z"
"T-P36757","V39Z"
"T-P11657","V39Z"
"T-P06579","V39Z"
"T-P06596","V39Z"
"T-P06574","V39Z"
"S-P21812","V39Z"
"Q-P10097","V39Z"
"Q-P10095","V39Z"
"T-P07927","V39Z"
"U-P00122","V39Z"
"Q-P10089","V39Z"
"R-P15147","V39Z"
"U-P06406","V39Z"
"T-P09648","V39Z"
"R-P29001","V39Z"
"T-P06593","V39Z"
"R-P24668","V39Z"
"T-P33582","V39Z"
"T-P06573","V39Z"
"T-P06624","V39Z"
"R-P15146","V39Z"
"S-P16232","V39Z"
"S-P16230","V39Z"
"T-P06554","V39Z"
"R-P15151","V39Z"
"T-P11650","V39Z"
"T-P11872","V39Z"
"T-P23957","V39Z"
"R-P23942","V39Z"
"T-P06561","V39Z"
"R-P12717","V39Z"
"R-P24670","V39Z"
"T-P03074","V39Z"
"T-P06565","V39Z"
"Q-P10093","V39Z"
"T-P06580","V39Z"
"T-P13198","V39Z"
"Q-P10125","V37Y"
"R-P23990","V37Y"
"T-P36765","V37Y"
"Q-P10123","V37Y"
"R-P24692","V37Y"
"T-P06541","V37Y"
"R-P23997","V37Y"
"Q-P10126","V37Y"
"R-P23994","V37Y"
"T-P06549","V37Y"
"T-P06544","V37Y"
"T-P13252","V37Y"
"Q-P10127","V37Y"
"R-P24674","V37Y"
"R-P24691","V37Y"
"T-P06542","V37Y"
"R-P23996","V37Y"
"T-P36766","V37Y"
"R-P24690","V37Y"
"Q-P10124","V37Y"
"T-P09643","V37Y"
"Q-P10129","V37Y"
"R-P24688","V37Y"
"R-P24689","V37Y"
"Q-P10128","V37Y"
"S-P16233","V37Y"
"S-P16234","V37Y"
"T-P36767","V37Y"
"R-P24684","V37Y"
"R-P24687","V37Y"
"T-P06550","V37Y"
"Q-P10130","V37Y"
"R-P23993","V37Y"
"R-P23992","V37Y"
"R-P24685","V37Y"
"T-P06548","V37Y"
"Q-P12635","V32Z"
"Q-P12656","V32Z"
"Q-P12632","V32Z"
"Q-P12631","V32Z"
"Q-P12637","V32Z"
"S-P21316","V32Z"
"Q-P12642","V32Z"
"Q-P12641","V32Z"
"S-P21317","V32Z"
"Q-P12639","V32Z"
"R-P20911","V32Z"
"Q-P12640","V32Z"
"R-P20908","V32Z"
"Q-P12644","V32Z"
"R-P20909","V32Z"
"Q-P12634","V32Z"
"Q-P12633","V32Z"
"S-P21313","V32Z"
"S-P21314","V32Z"
"Q-P12645","V32Z"
"Q-P12655","V32Z"
"Q-P12646","V32Z"
"Q-P12638","V32Z"
"S-P21315","V32Z"
"T-P05154","V10Y"
"T-P23953","V10Y"
"T-P22468","V10Y"
"T-P05157","V10Y"
"T-P22430","V10Y"
"T-P22463","V10Y"
"Q-P14999","V10Y"
"T-P22445","V10Y"
"NEW-OMAR-BA06","V10Y"
"T-P05152","V10Y"
"S-P20394","V10Y"
"T-P36780","V10Y"
"R-P22272","V10Y"
"T-P22457","V10Y"
"Q-P10085","V10Y"
"R-P22273","V10Y"
"T-P22467","V10Y"
"T-P05174","V10Y"
"R-P22265","V10Y"
"T-P05172","V10Y"
"Q-P14986","V10Y"
"T-P32608","V10Y"
"T-P22462","V10Y"
"T-P36783","V10Y"
"Q-P14983","V10Y"
"T-P22451","V10Y"
"T-P22447","V10Y"
"T-P22448","V10Y"
"T-P22460","V10Y"
"R-P22276","V10Y"
"T-P36784","V10Y"
"T-P22473","V10Y"
"S-P15115","V10Y"
"T-P22449","V10Y"
"R-P22271","V10Y"
"T-P36779","V10Y"
"Q-P14977","V10Y"
"R-P24663","V10Y"
"T-P22446","V10Y"
"Q-P10086","V10Y"
"R-P23966","V10Y"
"T-P33573","V10Y"
"R-P22260","V10Y"
"T-P22434","V10Y"
"T-P05159","V10Y"
"U-P13632","V10Y"
"T-P22437","V10Y"
"R-P24627","V10Y"
"T-P03083","V10Y"
"S-P15106","V10Y"
"T-P03084","V10Y"
"S-P18298","V10Y"
"T-P22483","V10Y"
"R-P22269","V10Y"
"T-P03086","V10Y"
"T-P27798","V10Y"
"T-P22486","V10Y"
"U-P00623","V10Y"
"T-P05169","V10Y"
"S-P15104","V10Y"
"R-P22264","V10Y"
"R-P24625","V10Y"
"T-P05160","V10Y"
"T-P05161","V10Y"
"R-P22268","V10Y"
"T-P22454","V10Y"
"R-P22255","V10Y"
"T-P05155","V10Y"
"T-P33572","V10Y"
"T-P22485","V10Y"
"T-P05158","V10Y"
"T-P22436","V10Y"
"T-P22432","V10Y"
"T-P22477","V10Y"
"R-P23972","V10Y"
"T-P05164","V10Y"
"T-P23946","V10Y"
"NEW-OMAR-BA38","V10Y"
"Q-P14973","V10Y"
"R-P24624","V10Y"
"S-P18301","V10Y"
"T-P22482","V10Y"
"S-P18300","V10Y"
"S-P21793","V10Y"
"S-P21795","V10Y"
"R-P23967","V10Y"
"R-P23970","V10Y"
"S-P15108","V10Y"
"S-P18299","V10Y"
"T-P22479","V10Y"
"T-P32590","V10Y"
"T-P22480","V10Y"
"R-P22257","V10Y"
"T-P22433","V10Y"
"R-P24631","V10Y"
"R-P22256","V10Y"
"T-P05162","V10Y"
"T-P03085","V10Y"
"T-P23943","V10Y"
"S-P21796","V10Y"
"T-P22453","V10Y"
"T-P11662","V10Y"
"S-P19644","V10Y"
"T-P32593","V10Y"
"R-P24629","V10Y"
"T-P22484","V10Y"
"U-P00123","V10Y"
"S-P20401","V10Y"
"Q-P10084","V10Y"
"T-P05167","V10Y"
"T-P22464","V10Y"
"Q-P10064","V10Y"
"T-P05173","V10Y"
"T-P05151","V10Y"
"T-P22441","V10Y"
"T-P22444","V10Y"
