"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"R-P07579","V38Z","V","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"T-P05192","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",40,1995,-3.462678319,43.46592093,"1 - UTM1x1 + Elevation",10,"",NA
"T-P11947","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",50,1988,-2.41354407,43.03493007,"3 - UTM10x10 + Elevation",250,"",NA
"T-P11940","V38Z","V38","Helmintio echioidis-Melilotetum albae","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",40,1988,-2.85585651,42.87514428,"4 - UTM10x10 + Centroid",470,"",NA
"T-P01420","V38Z","V","Chenopodio albi-Conyzetum canadensis",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",100,1994,-2.936228824,43.30657379,"4 - UTM10x10 + Centroid",58.5,"",NA
"T-P36748","V38Z","V33","Comunidad de Dipsacus fullonum","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",100,1993,-7.506684798,42.55147473,"1 - UTM1x1 + Elevation",320,"E-SE",15
"T-P22353","V38Z","V33","Carduo bourgeani-Silybetum mariani",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",200,1988,-6.816288499,42.61260869,"3 - UTM10x10 + Elevation",510,"",NA
"T-P05191","V38Z","?","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",10,1995,-3.45771989,43.46414002,"1 - UTM1x1 + Elevation",8,"",NA
"T-P11933","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.178016654,43.0226748,"3 - UTM10x10 + Elevation",190,"",NA
"T-P11934","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.422535962,43.12322415,"3 - UTM10x10 + Elevation",170,"",NA
"T-P11937","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.579564002,43.17073406,"3 - UTM10x10 + Elevation",200,"",NA
"R-P12754","V38Z","R1E","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",12,1997,-3.122531221,42.76080643,"3 - UTM10x10 + Elevation",530,"",NA
"R-P07580","V38Z","R22","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"NEW-OMAR-CA04","V38Z",NA,"",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,2020,-5.673663223,43.27875325,"10",255,"",0
"T-P11948","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.716305692,42.86498298,"3 - UTM10x10 + Elevation",520,"",NA
"NEW-OMAR-PA104","V38Z",NA,"Comunidad de Arctium minus y Artemisia vulgaris","Arction lappae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",80,1981,-5.654043577,43.23651311,"500",250,"SE",15
"T-P05188","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1995,-3.457706304,43.4623392,"1 - UTM1x1 + Elevation",7,"",NA
"T-P11939","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.47049379,43.26393038,"3 - UTM10x10 + Elevation",210,"",NA
"U-P00598","V38Z","V38","Comunidad de Daucus carota y Melilotus alba","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",8,2002,-4.999356424,42.97754404,"1 - UTM1x1 + Elevation",1160,"",NA
"T-P11941","V38Z","R22","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",10,1988,-2.281938959,43.16204941,"3 - UTM10x10 + Elevation",240,"",NA
"R-P07587","V38Z","H25","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"T-P05189","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",60,1995,-3.434182013,43.28414213,"1 - UTM1x1 + Elevation",40,"",NA
"T-P05186","V38Z","V38","Helmintio echioidis-Melilotetum albae","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1995,-3.444830308,43.3921557,"1 - UTM1x1 + Elevation",6,"",NA
"T-P11932","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.49713252,43.02091985,"3 - UTM10x10 + Elevation",350,"",NA
"R-P33439","V38Z","V32","Associació-Desconeguda",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",NA,2003,-2.527514949,42.57798446,"3 - UTM10x10 + Elevation",540,"",NA
"T-P11946","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.43009541,43.10345131,"3 - UTM10x10 + Elevation",160,"",NA
"R-P12746","V38Z","V38","Helmintio echioidis-Melilotetum albae","Sisymbrion officinalis","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1997,-3.044310574,42.75546012,"1 - UTM1x1 + Elevation",490,"",NA
"T-P11945","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.459825872,43.07658076,"3 - UTM10x10 + Elevation",210,"",NA
"R-P07588","V38Z","V","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"T-P11943","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",60,1988,-2.464754909,43.07480293,"3 - UTM10x10 + Elevation",220,"",NA
"T-P11938","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.424606154,43.16465681,"3 - UTM10x10 + Elevation",360,"",NA
"Xixon21","V38Z",NA,"N4C",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",16,2023,-5.7154383,43.5361933,"1",NA,"-",0
"T-P05187","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",50,1995,-3.492142772,43.44058572,"2 - UTM1x1 + Centroid",8,"",NA
