"","SIVIMID","Original","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"95","T-P03110","Cymbalarietum muralis",5,1986,-3.103819977,43.26330785,"3 - UTM10x10 + Elevation",150,"Cymbalario-Asplenion","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"96","T-P04874","Parietarietum judaicae",10,1995,-3.41745649,43.36164366,"1 - UTM1x1 + Elevation",6,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"97","T-P04875","Parietarietum judaicae",10,1995,-3.40543943,43.41031101,"1 - UTM1x1 + Elevation",30,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"98","T-P04876","Parietarietum judaicae",20,1995,-3.445186375,43.44077816,"1 - UTM1x1 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"99","T-P04877","Parietarietum judaicae",10,1995,-3.370779985,43.39782242,"1 - UTM1x1 + Elevation",5,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"100","T-P04878","Parietarietum judaicae",10,1995,-3.447671054,43.44256934,"3 - UTM10x10 + Elevation",20,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"101","T-P04879","Parietarietum judaicae",10,1995,-3.47178442,43.36503425,"3 - UTM10x10 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"102","T-P04880","Parietarietum judaicae",15,1995,-3.481643422,43.36319226,"3 - UTM10x10 + Elevation",50,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"103","T-P04881","Parietarietum judaicae",40,1995,-3.407885435,43.40670054,"1 - UTM1x1 + Elevation",100,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Cymbalario-Asplenion"
"104","T-P04882","Parietarietum judaicae",10,1995,-3.447737463,43.45157345,"1 - UTM1x1 + Elevation",160,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"105","T-P04883","Parietarietum judaicae",25,1995,-3.492274197,43.456793,"1 - UTM1x1 + Elevation",5,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"106","T-P04884","Parietarietum judaicae",20,1995,-3.48299873,43.22271466,"1 - UTM1x1 + Elevation",400,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
"107","T-P04885","Parietarietum judaicae",50,1995,-3.412837718,43.40848366,"1 - UTM1x1 + Elevation",10,"Galio valantiae-Parietarion judaicae","Tortulo-Cymbalarietalia","Cymbalario-Parietarietea diffusae","Galio valantiae-Parietarion judaicae"
