"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"76","R-P24603","Polygono arenastri-Matricarietum discoideae","V34Z",5,2012,-6.54972355,42.34025315,"1 - UTM1x1 + Elevation",1014,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"77","R-P24604","Polygono arenastri-Matricarietum discoideae","V34Z",4,2012,-6.669707884,42.35808151,"1 - UTM1x1 + Elevation",858,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"78","R-P24605","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2012,-6.8092218,42.41655453,"1 - UTM1x1 + Elevation",416,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"79","R-P24606","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2012,-6.769658267,42.40525832,"1 - UTM1x1 + Elevation",742,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"80","R-P24607","Crassulo tillaeae-Saginetum apetalae","V34Y",5,2012,-6.811756281,42.418271,"1 - UTM1x1 + Elevation",452,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"81","R-P24608","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2012,-6.620773945,42.3938561,"1 - UTM1x1 + Elevation",1026,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"82","R-P24609","Crassulo tillaeae-Saginetum apetalae","V34Y",NA,2012,-6.76577691,42.4215937,"1 - UTM1x1 + Elevation",407,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"83","R-P24610","Crassulo tillaeae-Saginetum apetalae","V34Y",5,2012,-6.773378052,42.42674593,"1 - UTM1x1 + Elevation",439,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"84","R-P24611","Crassulo tillaeae-Saginetum apetalae","V34Y",2,2012,-6.763566405,42.4252681,"1 - UTM1x1 + Elevation",430,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"85","R-P24612","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2012,-6.763566405,42.4252681,"1 - UTM1x1 + Elevation",463,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"86","R-P24613","Crassulo tillaeae-Saginetum apetalae","V34Y",1,2012,-6.78970925,42.41540135,"1 - UTM1x1 + Elevation",395,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
